抽せん日,本数字,ボーナス数字,回別,1等口数,1等当選金額,2等口数,2等当選金額,3等口数,3等当選金額,4等口数,4等当選金額,5等口数,5等当選金額,6等口数,6等当選金額,キャリーオーバー
2015-12-18,03 11 12 13 17 26 35,01 33,第140回,該当なし,該当なし,5口,"24,262,700円",141口,"1,204,500円","8,119口","12,200円","130,651口","1,800円","217,378口","1,000円","2,074,538,935円"
2015-12-25,02 10 18 30 31 32 36,21 29,第141回,1口,"800,000,000円",6口,"22,037,800円",161口,"1,149,700円","7,645口","14,200円","122,514口","2,100円","210,961口","1,100円","1,672,001,745円"
2016-01-08,06 12 14 18 21 27 28,01 33,第142回,該当なし,該当なし,20口,"6,745,000円",180口,"1,049,200円","9,004口","12,300円","142,612口","1,900円","245,135口","1,000円","2,060,628,715円"
2016-01-15,01 03 08 14 28 29 33,04 31,第143回,該当なし,該当なし,18口,"7,204,200円",218口,"832,700円","10,077口","10,500円","147,524口","1,700円","235,436口","1,000円","2,444,749,620円"
2016-01-22,02 09 13 18 22 32 36,17 26,第144回,1口,"800,000,000円",21口,"6,503,100円",249口,"767,800円","10,143口","11,000円","147,247口","1,800円","245,690口","1,000円","2,050,454,225円"
2016-01-29,10 12 18 28 29 30 35,04 19,第145回,該当なし,該当なし,18口,"6,993,600円",194口,"908,400円","9,476口","10,900円","139,105口","1,800円","234,198口",900円,"2,433,616,350円"
2016-02-05,04 10 25 27 28 33 34,15 35,第146回,1口,"800,000,000円",11口,"12,190,200円",160口,"1,173,200円","8,350口","13,100円","136,343口","1,900円","239,815口","1,000円","2,034,765,345円"
2016-02-12,01 05 07 12 15 24 25,08 14,第147回,2口,"800,000,000円",18口,"6,995,700円",198口,"890,300円","10,536口","9,800円","150,535口","1,600円","235,286口",900円,"826,803,760円"
2016-02-19,01 09 11 16 20 30 34,12 33,第148回,該当なし,該当なし,15口,"7,948,400円",117口,"1,426,600円","6,038口","16,200円","103,270口","2,300円","179,666口","1,200円","1,173,362,780円"
2016-02-26,01 04 15 19 22 23 31,12 32,第149回,1口,"800,000,000円",8口,"14,895,800円",160口,"1,042,600円","7,774口","12,500円","121,130口","1,900円","192,840口","1,100円","730,966,110円"
2016-03-04,06 07 14 20 27 31 34,11 24,第150回,1口,"800,000,000円",12口,"9,273,400円",171口,"911,000円","6,898口","13,200円","105,383口","2,100円","181,216口","1,100円","256,955,660円"
2016-03-11,09 10 13 15 21 22 24,04 08,第151回,該当なし,該当なし,9口,"11,155,700円",97口,"1,449,000円","5,598口","14,700円","95,911口","2,100円","194,859口",900円,"553,668,980円"
2016-03-18,08 12 17 21 23 24 31,06 07,第152回,1口,"800,000,000円",17口,"6,175,600円",130口,"1,130,500円","7,742口","11,100円","116,837口","1,800円","197,700口",900円,"69,792,960円"
2016-03-25,07 09 10 16 20 28 37,02 33,第153回,1口,"362,456,100円",12口,"7,885,800円",115口,"1,152,000円","5,753口","13,500円","91,889口","2,000円","158,231口","1,000円",0円
2016-04-01,02 04 19 21 24 28 35,03 13,第154回,1口,"257,297,800円",15口,"5,671,400円",127口,"937,700円","5,988口","11,600円","92,287口","1,800円","163,911口",900円,0円
2016-04-08,02 09 13 18 22 24 26,10 37,第155回,1口,"251,995,000円",11口,"7,583,900円",161口,"725,400円","6,403口","10,700円","88,855口","1,900円","138,643口","1,000円",0円
2016-04-15,04 09 16 19 22 33 34,17 36,第156回,1口,"259,663,500円",5口,"16,995,300円",138口,"862,000円","5,663口","12,300円","82,668口","2,000円","131,839口","1,100円",0円
2016-04-22,05 09 16 26 28 29 32,01 37,第157回,該当なし,該当なし,6口,"13,780,700円",112口,"1,033,500円","4,754口","14,200円","80,218口","2,000円","129,228口","1,100円","252,322,715円"
2016-04-29,03 06 07 30 32 36 37,05 20,第158回,1口,"535,280,700円",7口,"13,303,800円",109口,"1,196,100円","4,614口","16,500円","84,564口","2,200円","141,718口","1,100円",0円
2016-05-06,10 14 17 21 23 27 31,16 24,第159回,該当なし,該当なし,5口,"15,896,900円",127口,"876,100円","5,520口","11,800円","83,349口","1,900円","127,314口","1,100円","234,794,530円"
2016-05-13,01 02 08 24 32 36 37,23 33,第160回,2口,"255,795,700円",5口,"18,657,900円",94口,"1,389,400円","6,795口","11,200円","87,158口","2,100円","151,192口","1,100円",0円
2016-05-20,08 14 17 18 20 22 34,04 30,第161回,該当なし,該当なし,6口,"13,320,500円",69口,"1,621,600円","4,314口","15,200円","70,156口","2,300円","128,448口","1,100円","233,401,615円"
2016-05-27,02 07 08 12 14 23 27,06 10,第162回,1口,"500,555,900円",15口,"6,029,500円",156口,"811,600円","8,086口","9,100円","112,419口","1,600円","178,019口",900円,0円
2016-06-03,01 02 06 16 28 30 31,03 07,第163回,1口,"237,793,900円",7口,"11,300,600円",118口,"938,500円","5,118口","12,600円","79,064口","2,000円","150,062口",900円,0円
2016-06-10,03 13 20 23 31 35 36,02 11,第164回,該当なし,該当なし,4口,"19,067,900円",92口,"1,160,600円","4,328口","14,400円","67,249口","2,300円","127,590口","1,000円","229,558,135円"
2016-06-17,09 11 14 15 16 18 27,06 20,第165回,該当なし,該当なし,3口,"32,554,300円",96口,"1,424,200円","5,542口","14,400円","100,873口","1,900円","163,858口","1,000円","529,403,390円"
2016-06-24,14 20 27 29 30 31 37,23 34,第166回,該当なし,該当なし,9口,"11,749,100円",103口,"1,437,200円","5,210口","16,600円","90,495口","2,300円","159,868口","1,200円","838,919,740円"
2016-07-01,01 03 05 07 10 26 36,19 37,第167回,2口,"596,966,700円",16口,"7,293,200円",175口,"933,500円","8,295口","11,500円","126,796口","1,800円","199,765口","1,000円",0円
2016-07-08,03 09 12 14 19 20 36,02 05,第168回,該当なし,該当なし,8口,"10,278,400円",96口,"1,199,100円","4,707口","14,300円","79,672口","2,000円","142,639口","1,000円","249,683,290円"
2016-07-15,01 05 10 20 21 28 30,25 26,第169回,該当なし,該当なし,9口,"10,458,600円",145口,"908,800円","7,713口","10,000円","101,092口","1,800円","143,001口","1,100円","541,842,255円"
2016-07-22,03 05 06 09 27 32 36,12 24,第170回,1口,"800,000,000円",9口,"11,318,500円",126口,"1,131,800円","7,099口","11,700円","111,780口","1,800円","198,470口",900円,"45,774,325円"
2016-07-29,01 02 06 21 23 27 28,11 16,第171回,1口,"308,533,500円",6口,"14,778,000円",112口,"1,108,300円","5,675口","12,800円","94,440口","1,900円","169,580口",900円,0円
2016-08-05,05 20 21 27 30 31 36,09 26,第172回,1口,"229,139,600円",10口,"7,737,500円",143口,"757,500円","5,836口","10,800円","82,221口","1,900円","134,057口","1,000円",0円
2016-08-12,07 09 19 22 24 27 30,04 28,第173回,該当なし,該当なし,9口,"8,179,800円",96口,"1,073,500円","4,599口","13,100円","76,223口","1,900円","151,261口",800円,"228,099,815円"
2016-08-19,10 13 14 15 23 31 32,04 29,第174回,3口,"170,269,900円",7口,"13,318,400円",109口,"1,197,400円","5,268口","14,500円","86,852口","2,100円","160,305口","1,000円",0円
2016-08-26,06 17 21 31 33 35 37,14 18,第175回,該当なし,該当なし,3口,"26,441,700円",93口,"1,194,100円","4,005口","16,200円","70,659口","2,200円","124,654口","1,100円","239,677,540円"
2016-09-02,01 11 12 17 22 30 35,15 16,第176回,該当なし,該当なし,5口,"18,978,800円",89口,"1,492,600円","5,367口","14,500円","87,754口","2,100円","148,588口","1,100円","528,455,810円"
2016-09-09,09 15 19 23 25 34 36,02 35,第177回,1口,"800,000,000円",9口,"11,551,700円",142口,"1,025,000円","6,691口","12,700円","108,184口","1,900円","184,822口","1,000円","35,718,160円"
2016-09-16,06 09 11 15 26 34 36,13 37,第178回,該当なし,該当なし,8口,"11,013,900円",93口,"1,326,300円","5,206口","13,900円","84,160口","2,100円","137,192口","1,100円","298,979,855円"
2016-09-23,04 09 12 13 22 26 36,05 33,第179回,1口,"581,403,600円",8口,"11,980,000円",150口,"894,400円","6,573口","11,900円","100,985口","1,900円","168,946口","1,000円",0円
2016-09-30,01 08 11 21 23 25 28,05 37,第180回,該当なし,該当なし,14口,"5,721,300円",109口,"1,028,700円","5,735口","11,400円","89,930口","1,800円","153,913口",900円,"237,187,815円"
2016-10-07,07 08 10 13 19 23 24,15 27,第181回,該当なし,該当なし,7口,"13,205,000円",130口,"995,400円","6,491口","11,600円","102,655口","1,800円","189,360口",800円,"521,445,450円"
2016-10-14,01 07 10 11 20 23 30,03 37,第182回,該当なし,該当なし,28口,"3,682,100円",203口,"711,000円","9,719口","8,700円","117,841口","1,700円","189,068口",900円,"842,496,950円"
2016-10-21,06 15 20 26 33 34 37,19 29,第183回,該当なし,該当なし,5口,"23,089,700円",113口,"1,430,300円","5,827口","16,200円","98,227口","2,300円","175,010口","1,200円","1,181,212,000円"
2016-10-28,07 14 18 22 23 26 34,02 32,第184回,1口,"800,000,000円",28口,"4,463,800円",256口,"683,500円","9,419口","10,800円","127,958口","1,900円","204,874口","1,100円","751,867,760円"
2016-11-04,01 02 04 16 26 29 34,11 12,第185回,該当なし,該当なし,6口,"18,419,400円",100口,"1,547,200円","5,587口","16,200円","96,090口","2,300円","194,575口","1,000円","1,077,699,135円"
2016-11-11,05 14 16 19 31 33 37,21 28,第186回,該当なし,該当なし,9口,"12,858,400円",109口,"1,486,300円","6,212口","15,300円","101,630口","2,300円","189,498口","1,100円","1,411,599,250円"
2016-11-18,04 06 10 23 24 32 36,15 31,第187回,2口,"800,000,000円",13口,"9,624,600円",206口,"850,300円","8,657口","11,800円","135,560口","1,800円","231,695口",900円,"198,771,140円"
2016-11-25,06 15 19 25 26 30 31,14 18,第188回,1口,"478,206,800円",4口,"24,214,600円",112口,"1,210,700円","5,621口","14,100円","93,300口","2,100円","158,624口","1,100円",0円
2016-12-02,03 07 08 10 18 23 35,01 19,第189回,2口,"123,108,600円",8口,"10,370,900円",126口,"921,800円","6,418口","10,600円","98,944口","1,700円","157,885口",900円,0円
2016-12-09,02 11 12 18 21 33 36,08 34,第190回,1口,"240,259,100円",12口,"6,759,300円",105口,"1,081,400円","5,065口","13,100円","83,879口","1,900円","144,610口","1,000円",0円
2016-12-16,08 15 21 24 26 27 29,07 30,第191回,該当なし,該当なし,4口,"20,202,500円",94口,"1,203,500円","4,653口","14,200円","76,562口","2,100円","137,587口","1,000円","243,867,070円"
2016-12-23,12 13 14 19 25 33 34,03 22,第192回,該当なし,該当なし,12口,"7,783,800円",118口,"1,108,100円","5,960口","12,800円","92,178口","2,000円","163,402口","1,000円","522,955,095円"
2016-12-30,04 06 20 21 22 24 31,09 10,第193回,該当なし,該当なし,9口,"12,021,800円",113口,"1,340,400円","6,037口","14,700円","100,444口","2,100円","193,019口","1,000円","844,728,055円"
2017-01-06,03 06 27 30 31 32 36,14 23,第194回,該当なし,該当なし,6口,"16,169,400円",130口,"1,044,700円","6,171口","12,900円","96,460口","2,000円","189,955口",900円,"1,131,549,130円"
2017-01-13,04 07 12 20 23 24 31,26 35,第195回,4口,"371,873,100円",11口,"10,556,800円",229口,"709,900円","8,965口","10,600円","131,305口","1,700円","199,956口","1,000円",0円
2017-01-20,07 13 15 25 30 32 37,08 14,第196回,該当なし,該当なし,11口,"7,321,700円",113口,"997,800円","4,792口","13,800円","76,951口","2,100円","143,940口","1,000円","234,599,870円"
2017-01-27,06 08 10 12 16 21 28,14 23,第197回,該当なし,該当なし,10口,"9,519,200円",163口,"817,500円","7,271口","10,700円","109,584口","1,700円","183,425口",900円,"522,001,970円"
2017-02-03,18 21 31 32 33 36 37,05 25,第198回,該当なし,該当なし,5口,"23,983,300円",92口,"1,824,700円","7,830口","12,500円","97,289口","2,500円","185,503口","1,100円","879,541,410円"
2017-02-10,01 09 17 20 22 28 29,13 16,第199回,2口,"636,223,100円",22口,"6,022,200円",259口,"716,100円","11,394口","9,500円","147,540口","1,800円","230,618口","1,000円",0円
2017-02-17,13 14 17 21 27 28 34,01 11,第200回,4口,"67,987,600円",12口,"7,805,300円",134口,"978,500円","6,075口","12,600円","94,341口","2,000円","152,630口","1,100円",0円
2017-02-24,08 11 17 24 28 31 32,12 34,第201回,1口,"263,734,200円",10口,"8,851,000円",134口,"924,700円","6,540口","11,100円","96,493口","1,800円","156,259口","1,000円",0円
2017-03-03,03 07 11 16 22 34 37,29 32,第202回,1口,"254,364,500円",18口,"4,726,500円",145口,"821,400円","6,040口","11,500円","89,056口","1,900円","133,997口","1,100円",0円
2017-03-10,06 13 17 22 32 33 36,12 28,第203回,1口,"236,902,300円",9口,"9,011,200円",106口,"1,071,100円","5,225口","12,700円","80,052口","2,000円","147,130口","1,000円",0円
2017-03-17,05 19 20 21 30 34 36,07 12,第204回,該当なし,該当なし,4口,"19,529,000円",100口,"1,093,600円","4,310口","14,800円","68,340口","2,300円","129,597口","1,000円","237,457,480円"
2017-03-24,04 05 19 31 35 36 37,27 32,第205回,該当なし,該当なし,5口,"17,824,400円",102口,"1,223,200円","4,969口","14,700円","84,038口","2,100円","141,768口","1,100円","502,863,990円"
2017-03-31,01 06 07 11 27 35 36,22 26,第206回,2口,"405,262,500円",10口,"10,099,400円",127口,"1,113,300円","6,385口","12,900円","103,019口","1,900円","174,481口","1,000円",0円
2017-04-07,04 05 10 13 28 32 33,19 26,第207回,該当なし,該当なし,6口,"13,070,000円",96口,"1,143,600円","4,637口","13,800円","77,499口","2,000円","134,173口","1,000円","237,151,340円"
2017-04-14,04 13 16 18 22 26 33,27 29,第208回,2口,"265,859,700円",11口,"8,775,000円",148口,"913,000円","6,161口","12,800円","94,473口","2,000円","164,238口","1,000円",0円
2017-04-21,03 04 06 13 22 31 36,28 34,第209回,2口,"126,470,700円",6口,"13,920,600円",148口,"790,000円","6,497口","10,500円","95,571口","1,700円","161,235口",900円,0円
2017-04-28,02 04 06 11 15 19 36,23 34,第210回,3口,"81,938,200円",13口,"6,308,500円",94口,"1,221,400円","5,601口","12,000円","90,046口","1,800円","158,042口",900円,0円
2017-05-05,07 15 22 25 31 32 35,29 36,第211回,該当なし,該当なし,1口,"73,468,200円",87口,"1,182,200円","4,147口","14,500円","66,654口","2,200円","120,393口","1,100円","213,835,550円"
2017-05-12,04 06 10 19 20 24 29,01 27,第212回,1口,"485,279,600円",4口,"22,301,000円",111口,"1,125,000円","5,279口","13,800円","85,435口","2,100円","147,792口","1,000円",0円
2017-05-19,05 13 15 18 19 24 35,20 23,第213回,1口,"221,975,000円",5口,"15,193,000円",101口,"1,052,900円","4,498口","13,800円","75,550口","2,000円","124,267口","1,100円",0円
2017-05-26,02 06 09 12 31 36 37,03 22,第214回,該当なし,該当なし,6口,"12,438,700円",89口,"1,173,900円","4,596口","13,300円","77,756口","1,900円","145,323口",900円,"222,151,090円"
2017-06-02,11 12 13 21 29 36 37,07 09,第215回,該当なし,該当なし,8口,"10,580,500円",113口,"1,048,600円","4,689口","14,800円","77,519口","2,200円","163,313口",900円,"472,406,545円"
2017-06-09,09 14 22 24 25 36 37,08 28,第216回,該当なし,該当なし,5口,"18,713,100円",91口,"1,439,400円","5,417口","14,100円","88,057口","2,100円","162,975口","1,000円","752,459,005円"
2017-06-16,04 06 26 27 28 35 36,24 34,第217回,3口,"366,089,300円",20口,"5,592,700円",276口,"567,300円","9,882口","9,200円","135,795口","1,600円","208,907口",900円,0円
2017-06-23,15 16 17 21 26 29 30,10 34,第218回,該当なし,該当なし,7口,"11,201,900円",82口,"1,338,700円","4,421口","14,500円","69,813口","2,200円","125,932口","1,100円","234,051,170円"
2017-06-30,06 09 13 14 21 25 31,02 04,第219回,1口,"499,890,800円",14口,"6,420,600円",137口,"918,500円","6,501口","11,300円","101,087口","1,800円","172,660口",900円,0円
2017-07-07,07 09 11 18 25 28 35,20 27,第220回,1口,"226,348,000円",9口,"8,553,300円",114口,"945,300円","5,346口","11,800円","84,172口","1,800円","138,540口","1,000円",0円
2017-07-14,01 02 09 11 17 30 35,13 36,第221回,該当なし,該当なし,8口,"9,252,000円",72口,"1,439,100円","4,630口","13,100円","72,256口","2,000円","123,286口","1,000円","228,713,890円"
2017-07-21,03 09 18 21 23 27 29,35 37,第222回,2口,"237,488,900円",6口,"13,828,300円",127口,"914,600円","6,133口","11,100円","91,984口","1,800円","144,651口","1,000円",0円
2017-07-28,10 13 19 21 26 33 34,24 25,第223回,該当なし,該当なし,8口,"8,981,800円",99口,"1,016,100円","4,669口","12,600円","70,043口","2,000円","114,037口","1,100円","216,537,490円"
2017-08-04,02 04 07 10 12 29 34,01 21,第224回,該当なし,該当なし,12口,"6,787,900円",115口,"991,600円","5,595口","11,900円","86,363口","1,900円","143,418口","1,000円","455,617,240円"
2017-08-11,13 15 17 18 20 21 26,25 29,第225回,該当なし,該当なし,9口,"9,488,100円",72口,"1,660,300円","4,625口","15,100円","70,339口","2,400円","129,322口","1,200円","704,586,110円"
2017-08-18,12 17 21 24 26 30 32,10 22,第226回,2口,"498,775,500円",8口,"12,725,800円",160口,"890,700円","5,907口","14,100円","93,387口","2,200円","153,889口","1,200円",0円
2017-08-25,02 03 07 09 22 23 26,29 30,第227回,1口,"211,728,100円",6口,"12,142,600円",110口,"927,200円","5,230口","11,400円","81,676口","1,800円","130,062口","1,000円",0円
2017-09-01,06 11 14 21 24 28 31,22 36,第228回,1口,"220,207,500円",14口,"5,378,700円",135口,"780,800円","5,511口","11,200円","84,921口","1,800円","146,739口",900円,0円
2017-09-08,02 03 09 30 33 36 37,01 32,第229回,該当なし,該当なし,4口,"18,376,700円",70口,"1,470,100円","3,954口","15,200円","67,218口","2,200円","113,978口","1,100円","219,972,905円"
2017-09-15,03 05 08 15 22 25 27,18 31,第230回,該当なし,該当なし,8口,"10,739,600円",132口,"911,200円","7,069口","9,900円","103,336口","1,600円","158,735口",900円,"488,540,220円"
2017-09-22,04 15 18 24 25 34 36,10 26,第231回,該当なし,該当なし,5口,"18,672,100円",128口,"1,021,100円","5,906口","12,900円","93,003口","2,000円","153,999口","1,100円","759,728,850円"
2017-09-29,02 04 07 09 15 35 37,10 23,第232回,1口,"1,000,000,000円",12口,"9,296,200円",153口,"1,020,700円","7,395口","12,300円","117,395口","1,900円","214,357口",900円,"92,542,530円"
2017-10-06,03 13 17 25 26 27 29,08 37,第233回,該当なし,該当なし,8口,"10,725,400円",103口,"1,166,200円","5,288口","13,300円","90,228口","1,900円","160,585口",900円,"352,144,450円"
2017-10-13,07 14 15 16 23 25 30,05 34,第234回,該当なし,該当なし,7口,"13,471,100円",119口,"1,109,300円","6,310口","12,200円","98,933口","1,900円","169,649口","1,000円","627,381,835円"
2017-10-20,02 09 13 18 21 33 34,03 11,第235回,2口,"465,949,400円",7口,"14,675,800円",203口,"708,400円","7,726口","10,900円","107,778口","1,900円","179,818口","1,000円",0円
2017-10-27,19 22 23 34 35 36 37,10 30,第236回,該当なし,該当なし,6口,"12,589,100円",111口,"952,600円","4,721口","13,100円","75,308口","2,000円","113,751口","1,200円","219,639,955円"
2017-11-03,03 04 07 19 20 21 29,08 33,第237回,1口,"495,540,900円",11口,"8,194,800円",127口,"993,600円","6,148口","12,000円","94,907口","1,900円","165,076口",900円,0円
2017-11-10,03 21 26 33 34 35 37,23 31,第238回,1口,"221,756,400円",5口,"15,076,200円",58口,"1,819,500円","3,900口","15,800円","69,076口","2,200円","110,077口","1,200円",0円
2017-11-17,08 13 17 21 23 28 37,01 14,第239回,2口,"108,367,000円",10口,"7,272,000円",83口,"1,226,500円","4,447口","13,400円","76,039口","1,900円","126,613口","1,000円",0円
2017-11-24,09 12 14 24 29 31 35,05 30,第240回,該当なし,該当なし,7口,"10,047,300円",91口,"1,082,000円","4,401口","13,100円","71,616口","1,900円","124,083口","1,000円","211,619,725円"
2017-12-01,05 11 12 19 21 26 28,04 20,第241回,該当なし,該当なし,13口,"6,352,500円",123口,"939,900円","5,635口","12,000円","86,968口","1,900円","145,057口","1,000円","455,355,365円"
2017-12-08,01 05 13 17 31 32 35,19 24,第242回,該当なし,該当なし,9口,"10,182,000円",95口,"1,350,400円","5,229口","14,300円","83,427口","2,200円","150,343口","1,100円","721,477,315円"
2017-12-15,06 09 13 18 20 22 30,11 14,第243回,2口,"517,917,800円",11口,"9,559,600円",128口,"1,150,100円","6,642口","13,000円","105,269口","2,000円","180,325口","1,000円",0円
2017-12-22,02 09 17 22 32 34 36,11 12,第244回,1口,"228,504,900円",7口,"10,852,200円",109口,"975,600円","4,719口","13,200円","72,293口","2,100円","129,238口","1,000円",0円
2017-12-29,02 08 09 11 24 26 27,07 36,第245回,2口,"117,494,400円",12口,"6,681,100円",157口,"714,900円","6,149口","10,700円","93,255口","1,700円","160,222口",900円,0円
2018-01-05,03 06 09 19 23 25 31,21 36,第246回,1口,"190,480,600円",8口,"7,775,400円",102口,"853,700円","4,759口","10,700円","70,956口","1,700円","118,023口",900円,0円
2018-01-12,10 12 13 16 34 35 36,11 37,第247回,該当なし,該当なし,8口,"8,744,900円",75口,"1,305,800円","3,817口","15,000円","62,163口","2,200円","117,489口","1,000円","215,130,950円"
2018-01-19,01 05 06 22 25 27 31,12 18,第248回,1口,"486,799,200円",12口,"7,244,300円",89口,"1,367,400円","5,288口","13,500円","84,474口","2,000円","158,212口",900円,0円
2018-01-26,09 20 28 29 31 34 37,05 25,第249回,該当なし,該当なし,3口,"24,094,600円",99口,"1,022,100円","3,503口","16,900円","60,041口","2,400円","106,364口","1,200円","213,193,135円"
2018-02-02,05 09 10 13 26 30 34,18 23,第250回,1口,"474,586,400円",15口,"5,711,200円",110口,"1,090,300円","5,706口","12,300円","87,003口","1,900円","147,994口","1,000円",0円
2018-02-09,01 15 20 26 28 34 37,23 30,第251回,1口,"312,906,800円",2口,"25,915,900円",76口,"954,700円","3,459口","12,300円","59,358口","1,700円","105,067口","1,200円",0円
2018-02-16,08 23 24 25 27 30 31,11 17,第252回,1口,"316,752,000円",4口,"12,826,500円",83口,"865,300円","4,412口","9,500円","70,825口","1,400円","131,904口",900円,0円
2018-02-23,06 07 09 12 15 17 24,26 29,第253回,1口,"309,164,300円",4口,"12,622,700円",98口,"721,200円","5,391口","7,600円","80,979口","1,200円","133,405口",900円,0円
2018-03-02,01 12 14 18 23 24 31,07 26,第254回,該当なし,該当なし,3口,"16,800,700円",59口,"1,195,900円","3,838口","10,700円","65,858口","1,500円","125,175口","1,000円","301,344,395円"
2018-03-09,01 04 11 13 15 21 32,05 10,第255回,2口,"334,468,400円",5口,"12,119,600円",83口,"1,022,100円","4,473口","11,100円","80,800口","1,500円","142,503口","1,000円",0円
2018-03-16,14 21 24 27 30 33 37,19 20,第256回,1口,"305,471,000円",3口,"17,000,400円",77口,"927,200円","3,497口","11,900円","59,453口","1,700円","104,129口","1,200円",0円
2018-03-23,05 15 16 26 27 32 35,23 28,第257回,1口,"303,266,300円",11口,"4,621,500円",84口,"847,200円","4,241口","9,800円","66,571口","1,500円","126,574口","1,000円",0円
2018-03-30,01 03 11 20 23 32 35,25 26,第258回,1口,"305,996,000円",5口,"10,008,900円",79口,"886,800円","3,736口","11,000円","61,830口","1,600円","105,761口","1,100円",0円
2018-04-06,05 06 15 19 22 29 32,04 31,第259回,該当なし,該当なし,8口,"6,022,100円",64口,"1,053,800円","3,432口","11,500円","58,886口","1,600円","110,818口","1,000円","296,865,915円"
2018-04-13,04 08 12 23 29 31 34,05 06,第260回,2口,"333,667,500円",4口,"14,811,100円",163口,"508,800円","6,620口","7,300円","93,834口","1,200円","149,269口",900円,0円
2018-04-20,04 14 15 17 21 23 26,07 08,第261回,該当なし,該当なし,7口,"7,013,900円",56口,"1,227,400円","3,805口","10,500円","63,451口","1,500円","129,577口",900円,"299,962,625円"
2018-04-27,02 06 07 09 19 23 36,05 15,第262回,該当なし,該当なし,14口,"4,083,500円",149口,"537,100円","6,334口","7,400円","95,239口","1,200円","155,703口",900円,"641,103,540円"
2018-05-04,01 05 11 16 27 35 36,06 14,第263回,該当なし,該当なし,6口,"10,029,000円",121口,"696,200円","5,583口","8,800円","85,611口","1,400円","141,147口","1,000円","1,007,154,715円"
2018-05-11,08 13 15 17 21 26 29,04 24,第264回,該当なし,該当なし,23口,"3,183,500円",196口,"523,000円","8,103口","7,400円","112,727口","1,300円","193,807口",900円,"1,449,029,430円"
2018-05-18,12 13 15 19 21 24 36,10 37,第265回,2口,"973,273,800円",9口,"9,164,300円",166口,"695,500円","6,858口","9,800円","115,664口","1,400円","181,981口","1,100円",0円
2018-05-25,06 11 15 17 20 27 32,16 22,第266回,該当なし,該当なし,3口,"17,184,400円",84口,"859,200円","3,986口","10,600円","65,358口","1,600円","107,711口","1,100円","313,999,575円"
2018-06-01,08 13 18 20 23 25 26,06 28,第267回,該当なし,該当なし,10口,"6,591,600円",82口,"1,125,300円","4,991口","10,800円","84,759口","1,500円","154,705口","1,000円","718,966,520円"
2018-06-08,04 05 09 15 29 31 33,26 27,第268回,1口,"1,000,000,000円",6口,"12,371,700円",135口,"769,700円","6,894口","8,800円","108,858口","1,300円","197,196口",900円,"173,451,955円"
2018-06-15,01 09 15 24 31 33 36,02 26,第269回,1口,"541,546,300円",5口,"12,376,300円",125口,"693,000円","5,556口","9,100円","87,230口","1,400円","140,545口","1,100円",0円
2018-06-22,01 02 11 13 15 24 25,26 28,第270回,該当なし,該当なし,8口,"6,633,500円",69口,"1,076,700円","4,512口","9,600円","74,459口","1,400円","135,756口",900円,"326,590,330円"
2018-06-29,01 09 15 16 19 32 35,14 31,第271回,該当なし,該当なし,8口,"7,961,400円",88口,"1,013,200円","4,611口","11,300円","76,077口","1,600円","132,456口","1,200円","709,520,700円"
2018-07-06,02 05 08 15 18 26 31,19 25,第272回,2口,"565,988,400円",8口,"8,794,000円",147口,"670,000円","8,328口","6,900円","108,405口","1,300円","169,711口","1,000円",0円
2018-07-13,13 15 21 23 26 32 34,05 09,第273回,2口,"163,912,900円",396口,"131,500円",190口,"383,700円","7,181口","5,900円","81,640口","1,200円","146,385口",800円,0円
2018-07-20,09 14 21 23 25 26 37,07 29,第274回,該当なし,該当なし,5口,"9,848,700円",54口,"1,276,600円","4,093口","9,800円","70,124口","1,400円","117,691口","1,000円","297,380,135円"
2018-07-27,08 09 15 19 24 25 35,34 37,第275回,該当なし,該当なし,14口,"4,188,400円",133口,"617,200円","6,531口","7,300円","94,999口","1,200円","135,106口","1,000円","659,517,715円"
2018-08-03,03 06 12 17 22 34 35,02 33,第276回,1口,"1,000,000,000円",7口,"9,668,700円",159口,"595,900円","6,399口","8,600円","94,774口","1,400円","151,327口","1,100円","65,883,635円"
2018-08-10,06 07 09 11 21 23 25,01 22,第277回,該当なし,該当なし,12口,"4,532,500円",129口,"590,200円","5,833口","7,600円","90,448口","1,200円","147,333口",900円,"391,610,110円"
2018-08-17,06 09 14 21 23 33 36,27 28,第278回,該当なし,該当なし,5口,"12,638,600円",142口,"623,000円","6,793口","7,600円","103,978口","1,200円","167,042口",900円,"774,981,360円"
2018-08-24,07 11 15 17 19 23 31,09 37,第279回,該当なし,該当なし,12口,"5,937,600円",185口,"539,100円","8,548口","6,800円","117,304口","1,200円","210,604口",800円,"1,208,286,110円"
2018-08-31,04 09 10 11 24 32 35,02 37,第280回,該当なし,該当なし,6口,"13,162,000円",173口,"639,000円","7,531口","8,600円","116,457口","1,300円","186,330口","1,000円","1,693,217,310円"
2018-09-07,01 02 17 19 20 22 26,30 36,第281回,1口,"1,000,000,000円",4口,"20,471,100円",96口,"1,194,100円","5,111口","13,100円","89,508口","1,800円","163,932口","1,200円","1,188,572,470円"
2018-09-14,10 17 18 25 29 35 36,07 14,第282回,1口,"1,000,000,000円",8口,"9,824,400円",112口,"982,400円","5,643口","11,400円","97,856口","1,600円","175,263口","1,100円","658,065,950円"
2018-09-21,13 14 15 17 23 29 31,10 19,第283回,該当なし,該当なし,5口,"13,780,800円",117口,"824,400円","6,559口","8,600円","102,728口","1,300円","152,967口","1,100円","1,074,137,170円"
