combo,score
08-14-17-19-20-32,1.0
08-14-17-19-20-36,1.0
08-14-17-19-32-36,1.0
08-14-17-20-32-36,1.0
08-14-19-20-32-36,1.0
08-17-19-20-32-36,1.0
14-17-19-20-32-36,1.0
11-21-22-25-28-29,0.992
11-21-22-25-28-36,0.992
11-21-22-25-29-36,0.992
11-21-22-28-29-36,0.992
11-21-25-28-29-36,0.992
11-22-25-28-29-36,0.992
21-22-25-28-29-36,0.992
11-14-17-23-28-30,0.984064
11-14-17-23-28-36,0.984064
11-14-17-23-30-36,0.984064
11-14-17-28-30-36,0.984064
11-14-23-28-30-36,0.984064
11-17-23-28-30-36,0.984064
14-17-23-28-30-36,0.984064
01-10-12-13-19-33,0.97619149
01-10-12-13-19-35,0.97619149
01-10-12-13-33-35,0.97619149
01-10-12-19-33-35,0.97619149
01-10-13-19-33-35,0.97619149
01-12-13-19-33-35,0.97619149
10-12-13-19-33-35,0.97619149
09-10-22-26-27-31,0.96838196
09-10-22-26-27-36,0.96838196
09-10-22-26-31-36,0.96838196
09-10-22-27-31-36,0.96838196
09-10-26-27-31-36,0.96838196
09-22-26-27-31-36,0.96838196
10-22-26-27-31-36,0.96838196
06-08-09-18-22-24,0.9606349
06-08-09-18-22-35,0.9606349
06-08-09-18-24-35,0.9606349
06-08-09-22-24-35,0.9606349
06-08-18-22-24-35,0.9606349
06-09-18-22-24-35,0.9606349
08-09-18-22-24-35,0.9606349
02-06-12-15-24-26,0.95294982
02-06-12-15-24-34,0.95294982
02-06-12-15-26-34,0.95294982
02-06-12-24-26-34,0.95294982
02-06-15-24-26-34,0.95294982
02-12-15-24-26-34,0.95294982
06-12-15-24-26-34,0.95294982
05-06-07-08-15-17,0.94532622
05-06-07-08-15-19,0.94532622
05-06-07-08-17-19,0.94532622
05-06-07-15-17-19,0.94532622
05-06-08-15-17-19,0.94532622
05-07-08-15-17-19,0.94532622
06-07-08-15-17-19,0.94532622
02-06-15-19-20-22,0.93776361
02-06-15-19-20-27,0.93776361
02-06-15-19-22-27,0.93776361
02-06-15-20-22-27,0.93776361
02-06-19-20-22-27,0.93776361
02-15-19-20-22-27,0.93776361
06-15-19-20-22-27,0.93776361
05-08-16-18-24-28,0.9302615
05-08-16-18-24-31,0.9302615
05-08-16-18-28-31,0.9302615
05-08-16-24-28-31,0.9302615
05-08-18-24-28-31,0.9302615
05-16-18-24-28-31,0.9302615
08-16-18-24-28-31,0.9302615
01-06-07-09-12-22,0.92281941
01-06-07-09-12-26,0.92281941
01-06-07-09-22-26,0.92281941
01-06-07-12-22-26,0.92281941
01-06-09-12-22-26,0.92281941
01-07-09-12-22-26,0.92281941
06-07-09-12-22-26,0.92281941
06-09-10-12-16-24,0.91543686
06-09-10-12-16-32,0.91543686
06-09-10-12-24-32,0.91543686
06-09-10-16-24-32,0.91543686
06-09-12-16-24-32,0.91543686
06-10-12-16-24-32,0.91543686
09-10-12-16-24-32,0.91543686
07-11-15-16-17-24,0.90811336
07-11-15-16-17-33,0.90811336
07-11-15-16-24-33,0.90811336
07-11-15-17-24-33,0.90811336
07-11-16-17-24-33,0.90811336
07-15-16-17-24-33,0.90811336
11-15-16-17-24-33,0.90811336
07-13-16-22-28-33,0.90084845
07-13-16-22-28-36,0.90084845
07-13-16-22-33-36,0.90084845
07-13-16-28-33-36,0.90084845
07-13-22-28-33-36,0.90084845
07-16-22-28-33-36,0.90084845
13-16-22-28-33-36,0.90084845
03-04-09-10-18-21,0.89364167
03-04-09-10-18-37,0.89364167
03-04-09-10-21-37,0.89364167
03-04-09-18-21-37,0.89364167
