model,auc,test_rows,positive_rate
meta_logistic,0.8860812370883461,5266,0.11849601215343715
meta_rf,0.8323637509804571,5266,0.11849601215343715
xgboost,0.8493035647212188,5266,0.11849601215343715
lightgbm,0.8691869938907854,5266,0.11849601215343715
catboost,0.852960428197395,5266,0.11849601215343715
