created_at,iteration,genome_id,objective_score,roi_percent,profit,grade_hit_count,high_grade_hit_count,max_main_match,rank_3,rank_4,rank_5,rank_6,best_objective_score,best_roi_percent,best_profit
2026-07-12T12:21:46.113901+00:00,39,g039_0039_8068,6160.2,14.652,-233000,38,0,4,0,0,12,26,31464.01,152.857,144300
2026-07-12T12:22:12.301803+00:00,40,g040_0040_3593,12889.44,20.952,-215800,45,2,5,0,2,19,24,31464.01,152.857,144300
2026-07-12T13:04:04.916276+00:00,41,g041_0041_9857,10046.18,20.22,-217800,44,1,5,0,1,15,28,31464.01,152.857,144300
2026-07-12T17:01:01.271660+00:00,42,g042_0042_1769,8688.02,14.835,-232500,34,1,5,0,1,12,21,31464.01,152.857,144300
2026-07-12T17:05:54.324372+00:00,43,g043_0043_4039,9148.43,16.007,-229300,39,1,5,0,1,13,25,31464.01,152.857,144300
2026-07-12T17:07:09.374708+00:00,44,g044_0044_5538,11871.76,20.44,-217200,40,2,5,0,2,13,25,31464.01,152.857,144300
2026-07-12T17:10:16.552126+00:00,45,g045_0045_3430,6657.07,14.982,-232100,37,0,4,0,0,16,21,31464.01,152.857,144300
2026-07-12T17:25:51.799918+00:00,46,g046_0046_6434,8866.25,16.19,-228800,32,1,5,0,1,13,18,31464.01,152.857,144300
2026-07-12T17:27:05.507088+00:00,47,g047_0047_6909,9205.46,15.385,-231000,36,1,5,0,1,15,20,31464.01,152.857,144300
2026-07-12T17:37:38.371924+00:00,48,g048_0048_6883,6801.91,15.934,-229500,41,0,4,0,0,15,26,31464.01,152.857,144300
2026-07-12T17:48:24.864453+00:00,49,g049_0049_5006,6340.7,13.956,-234900,35,0,4,0,0,15,20,31464.01,152.857,144300
2026-07-12T17:50:26.509620+00:00,50,g050_0050_3115,9535.51,16.923,-226800,40,1,5,0,1,15,24,31464.01,152.857,144300
2026-07-12T18:05:45.188731+00:00,51,g051_0051_5084,9398.16,18.059,-223700,37,1,5,0,1,14,22,31464.01,152.857,144300
2026-07-12T18:06:59.148011+00:00,52,g052_0052_4577,6427.05,12.821,-238000,31,0,4,0,0,18,13,31464.01,152.857,144300
2026-07-12T18:28:42.133423+00:00,53,g053_0053_9376,5329.8,10.696,-243800,28,0,4,0,0,12,16,31464.01,152.857,144300
2026-07-12T18:44:13.337009+00:00,54,g054_0054_3051,9699.74,16.886,-226900,41,1,5,0,1,16,24,31464.01,152.857,144300
2026-07-12T18:44:17.607708+00:00,55,g055_0055_7668,6892.02,14.835,-232500,37,0,4,0,0,18,19,31464.01,152.857,144300
2026-07-12T18:44:31.410680+00:00,56,g056_0056_2842,10247.06,17.766,-224500,40,1,5,0,1,20,19,31464.01,152.857,144300
2026-07-12T18:45:43.510088+00:00,57,g057_0057_3890,6286.42,13.846,-235200,34,0,4,0,0,15,19,31464.01,152.857,144300
2026-07-12T18:46:27.607882+00:00,58,g058_0058_3404,7925.83,15.018,-232000,31,1,5,0,1,7,23,31464.01,152.857,144300
2026-07-12T18:53:54.992907+00:00,59,g059_0059_7635,5739.45,11.832,-240700,29,0,4,0,0,14,15,31464.01,152.857,144300
2026-07-12T19:09:48.289712+00:00,60,g060_0060_7722,9313.77,17.656,-224800,36,1,5,0,1,14,21,31464.01,152.857,144300
2026-07-12T22:09:59.460453+00:00,61,g061_0061_5862,8751.17,16.667,-227500,34,1,5,0,1,11,22,31464.01,152.857,144300
2026-07-12T22:11:33.077587+00:00,62,g062_0062_2071,9230.43,16.007,-229300,38,1,5,0,1,14,23,31464.01,152.857,144300
2026-07-12T22:11:51.220210+00:00,63,g063_0063_7573,5782.02,13.443,-236300,35,0,4,0,0,11,24,31464.01,152.857,144300
2026-07-12T22:15:48.977137+00:00,64,g064_0064_6711,5417.95,11.136,-242600,29,0,4,0,0,12,17,31464.01,152.857,144300
2026-07-12T22:16:45.175846+00:00,65,g065_0065_8373,5150.82,11.465,-241700,31,0,4,0,0,9,22,31464.01,152.857,144300
2026-07-12T22:54:46.671158+00:00,66,g066_0066_2327,5307.4,11.685,-241100,31,0,4,0,0,10,21,31464.01,152.857,144300
2026-07-12T23:08:17.519944+00:00,67,g067_0067_9040,6678.86,14.396,-233700,36,0,4,0,0,17,19,31464.01,152.857,144300
2026-07-12T23:21:45.943200+00:00,68,g068_0068_3484,6402.52,14.139,-234400,36,0,4,0,0,15,21,31464.01,152.857,144300
2026-07-12T23:31:00.399299+00:00,69,g069_0069_5808,8787.46,15.385,-231000,35,1,5,0,1,12,22,31464.01,152.857,144300
2026-07-12T23:32:34.532255+00:00,70,g070_0070_2299,12598.94,20.256,-217700,37,2,5,0,2,20,15,31464.01,152.857,144300
2026-07-12T23:33:30.873698+00:00,71,g071_0071_7179,7045.75,15.495,-230700,39,0,4,0,0,18,21,31464.01,152.857,144300
2026-07-13T00:25:40.132144+00:00,72,g072_0072_7287,6104.97,13.297,-236700,34,0,4,0,0,14,20,31464.01,152.857,144300
2026-07-13T07:14:44.995071+00:00,73,g073_0073_6776,5315.53,11.355,-242000,29,0,4,0,0,11,18,31464.01,152.857,144300
2026-07-13T07:14:50.907071+00:00,74,g074_0074_3081,6943.33,15.714,-230100,39,0,4,0,0,17,22,31464.01,152.857,144300
2026-07-13T07:15:09.753816+00:00,75,g075_0075_5136,8272.36,13.7,-235600,33,1,5,0,1,10,22,31464.01,152.857,144300
2026-07-13T07:16:07.432531+00:00,76,g076_0076_3431,6708.96,14.689,-232900,36,0,4,0,0,17,19,31464.01,152.857,144300
2026-07-13T07:16:13.246775+00:00,77,g077_0077_3280,5998.79,13.48,-236200,34,0,4,0,0,13,21,31464.01,152.857,144300
2026-07-13T07:17:48.837228+00:00,78,g078_0078_1030,8574.85,15.788,-229900,32,1,5,0,1,11,20,31464.01,152.857,144300
2026-07-13T07:27:12.299168+00:00,79,g079_0079_9199,8643.02,14.835,-232500,36,1,5,0,1,11,24,31464.01,152.857,144300
2026-07-13T07:28:09.285362+00:00,80,g080_0080_5589,8769.2,16.044,-229200,33,1,5,0,1,12,20,31464.01,152.857,144300
2026-07-13T07:30:44.156507+00:00,81,g081_0081_3012,5924.31,13.553,-236000,35,0,4,0,0,12,23,31464.01,152.857,144300
2026-07-13T07:40:06.274873+00:00,82,g082_0082_8747,4061.44,8.278,-250400,22,0,4,0,0,6,16,31464.01,152.857,144300
2026-07-13T07:40:16.574695+00:00,83,g083_0083_8254,6103.95,12.527,-238800,30,0,4,0,0,16,14,31464.01,152.857,144300
2026-07-13T07:40:35.274590+00:00,84,g084_0084_1936,10370.69,16.74,-227300,32,2,5,0,2,7,23,31464.01,152.857,144300
2026-07-13T07:44:40.380372+00:00,85,g085_0085_2118,7307.04,15.604,-230400,39,0,4,0,0,20,19,31464.01,152.857,144300
2026-07-13T07:58:32.584036+00:00,86,g086_0086_7388,9990.9,17.326,-225700,38,1,5,0,1,19,18,31464.01,152.857,144300
2026-07-13T08:02:35.428506+00:00,87,g087_0087_5326,5465.5,11.978,-240300,31,0,4,0,0,11,20,31464.01,152.857,144300
2026-07-13T08:55:51.903828+00:00,88,g088_0088_6310,6905.7,15.348,-231100,39,0,4,0,0,17,22,31464.01,152.857,144300
2026-07-13T09:49:06.236101+00:00,89,g089_0089_5943,9773.95,18.864,-221500,38,1,5,0,1,16,21,31464.01,152.857,144300
2026-07-13T12:45:44.059466+00:00,90,g090_0090_9765,8840.09,17.143,-226200,35,1,5,0,1,11,23,31464.01,152.857,144300
2026-07-13T12:46:14.098165+00:00,91,g091_0091_9524,9468.32,17.106,-226300,38,1,5,0,1,15,22,31464.01,152.857,144300
2026-07-13T12:46:31.255812+00:00,92,g092_0092_9816,8023.59,15.055,-231900,30,1,5,0,1,8,21,31464.01,152.857,144300
2026-07-13T13:35:41.377770+00:00,93,g093_0093_7356,8981.33,15.714,-230100,30,1,5,0,1,15,14,31464.01,152.857,144300
2026-07-13T13:35:46.608623+00:00,94,g094_0094_5291,8171.16,13.114,-237200,29,1,5,0,1,11,17,31464.01,152.857,144300
2026-07-13T13:36:16.740846+00:00,95,g095_0095_2756,10238.95,18.864,-221500,43,1,5,0,1,18,24,31464.01,152.857,144300
2026-07-13T13:36:25.948272+00:00,96,g096_0096_3756,6517.6,13.663,-235700,34,0,4,0,0,17,17,31464.01,152.857,144300
2026-07-13T13:38:47.218763+00:00,97,g097_0097_5403,10155.1,19.304,-220300,40,1,5,0,1,18,21,31464.01,152.857,144300
2026-07-13T13:39:39.686220+00:00,98,g098_0098_8941,9462.99,15.458,-230800,36,1,5,0,1,17,18,31464.01,152.857,144300
2026-07-13T14:05:17.413052+00:00,99,g099_0099_1304,5384.87,11.612,-241300,30,0,4,0,0,11,19,31464.01,152.857,144300
2026-07-13T14:06:09.003380+00:00,100,g100_0100_4266,6915.62,15.824,-229800,41,0,4,0,0,16,25,31464.01,152.857,144300
2026-07-13T14:14:44.772550+00:00,101,g101_0101_6212,9578.51,16.923,-226800,41,1,5,0,1,15,25,31464.01,152.857,144300
2026-07-13T14:15:14.485317+00:00,102,g102_0102_4119,5442.92,11.758,-240900,31,0,4,0,0,11,20,31464.01,152.857,144300
2026-07-13T14:15:31.177198+00:00,103,g103_0103_8324,6001.18,13.883,-235100,36,0,4,0,0,12,24,31464.01,152.857,144300
2026-07-13T15:03:57.700009+00:00,104,g104_0104_5596,6210.57,14.286,-234000,37,0,4,0,0,13,24,31464.01,152.857,144300
