rank,generation,genome_id,score,max_main_match,best_rank_count,shard_id,num_shards,updated_at
1,33,g033_0063_4787,4278.322719,5,1,7,8,2026-06-18T01:24:38.252355+00:00
2,33,g033_0031_7739,4240.066608,5,1,7,8,2026-06-18T01:24:38.252400+00:00
3,33,g033_0095_6353,4158.678949,5,1,7,8,2026-06-18T01:24:38.252407+00:00
4,33,g033_0039_2200,4100.527045,5,1,7,8,2026-06-18T01:24:38.252411+00:00
5,33,g033_0023_4867,4074.285999,5,1,7,8,2026-06-18T01:24:38.252415+00:00
6,33,g033_0015_6347,3982.604932,5,1,7,8,2026-06-18T01:24:38.252420+00:00
