target_draw_no,target_date,combo_index,numbers,actual_main,actual_bonus,main_match,bonus_match,prize_rank
71,2014-08-15,5,04 08 15 23 24 33 36,01 06 13 29 34 35 37,02 15,0,1,外れ
72,2014-08-22,1,04 07 08 15 23 24 28,11 12 18 19 20 31 32,09 21,0,0,外れ
72,2014-08-22,2,04 08 15 23 28 29 33,11 12 18 19 20 31 32,09 21,0,0,外れ
72,2014-08-22,3,01 04 08 23 24 28 33,11 12 18 19 20 31 32,09 21,0,0,外れ
72,2014-08-22,4,04 06 15 23 24 28 33,11 12 18 19 20 31 32,09 21,0,0,外れ
72,2014-08-22,5,04 08 15 23 24 29 34,11 12 18 19 20 31 32,09 21,0,0,外れ
73,2014-08-29,1,04 07 08 15 23 24 28,12 16 23 25 27 30 32,28 33,1,1,外れ
73,2014-08-29,2,04 08 15 23 28 29 33,12 16 23 25 27 30 32,28 33,1,2,外れ
73,2014-08-29,3,01 04 08 23 24 28 33,12 16 23 25 27 30 32,28 33,1,2,外れ
73,2014-08-29,4,04 06 15 23 24 28 33,12 16 23 25 27 30 32,28 33,1,2,外れ
73,2014-08-29,5,04 08 15 23 24 29 34,12 16 23 25 27 30 32,28 33,1,0,外れ
74,2014-09-05,1,04 07 08 15 23 24 28,05 13 14 15 16 24 31,09 11,2,0,外れ
74,2014-09-05,2,04 08 12 15 23 28 33,05 13 14 15 16 24 31,09 11,1,0,外れ
74,2014-09-05,3,01 04 08 15 23 28 29,05 13 14 15 16 24 31,09 11,1,0,外れ
74,2014-09-05,4,01 04 08 23 24 28 33,05 13 14 15 16 24 31,09 11,1,0,外れ
74,2014-09-05,5,04 08 12 15 23 24 29,05 13 14 15 16 24 31,09 11,2,0,外れ
75,2014-09-12,1,04 07 08 15 23 24 28,04 09 15 17 19 35 37,10 20,2,0,外れ
75,2014-09-12,2,04 12 15 23 24 28 33,04 09 15 17 19 35 37,10 20,2,0,外れ
75,2014-09-12,3,04 05 15 16 23 24 28,04 09 15 17 19 35 37,10 20,2,0,外れ
75,2014-09-12,4,04 08 12 15 23 24 29,04 09 15 17 19 35 37,10 20,2,0,外れ
75,2014-09-12,5,04 05 08 15 23 28 33,04 09 15 17 19 35 37,10 20,2,0,外れ
76,2014-09-19,1,04 08 15 17 23 24 28,04 13 18 29 32 34 36,24 33,1,1,外れ
76,2014-09-19,2,04 07 15 23 24 28 35,04 13 18 29 32 34 36,24 33,1,1,外れ
76,2014-09-19,3,04 08 15 23 24 29 35,04 13 18 29 32 34 36,24 33,2,1,外れ
76,2014-09-19,4,04 12 15 23 24 28 33,04 13 18 29 32 34 36,24 33,1,2,外れ
76,2014-09-19,5,04 05 15 16 23 24 28,04 13 18 29 32 34 36,24 33,1,1,外れ
77,2014-09-26,1,04 08 13 15 23 24 28,03 10 23 25 26 28 30,15 29,2,1,外れ
77,2014-09-26,2,04 08 15 23 24 29 34,03 10 23 25 26 28 30,15 29,1,2,外れ
77,2014-09-26,3,04 15 17 23 24 28 29,03 10 23 25 26 28 30,15 29,2,2,外れ
77,2014-09-26,4,04 07 15 23 24 28 34,03 10 23 25 26 28 30,15 29,2,1,外れ
77,2014-09-26,5,04 08 15 23 28 29 36,03 10 23 25 26 28 30,15 29,2,2,外れ
78,2014-10-03,1,04 08 13 15 23 24 28,05 06 10 14 24 28 36,07 20,2,0,外れ
78,2014-10-03,2,04 07 15 23 24 28 30,05 06 10 14 24 28 36,07 20,2,1,外れ
78,2014-10-03,3,04 15 17 23 24 28 29,05 06 10 14 24 28 36,07 20,2,0,外れ
78,2014-10-03,4,04 08 15 23 28 29 34,05 06 10 14 24 28 36,07 20,1,0,外れ
78,2014-10-03,5,04 05 08 15 23 28 30,05 06 10 14 24 28 36,07 20,2,0,外れ
79,2014-10-10,1,04 05 08 15 23 24 28,02 04 07 09 21 29 37,06 36,1,0,外れ
79,2014-10-10,2,04 15 17 23 24 28 36,02 04 07 09 21 29 37,06 36,1,1,外れ
79,2014-10-10,3,04 13 15 23 24 28 30,02 04 07 09 21 29 37,06 36,1,0,外れ
79,2014-10-10,4,04 06 15 23 24 28 29,02 04 07 09 21 29 37,06 36,2,1,外れ
79,2014-10-10,5,04 07 15 23 24 28 34,02 04 07 09 21 29 37,06 36,2,0,外れ
80,2014-10-17,1,04 07 15 23 24 28 29,02 05 10 18 21 24 27,25 34,1,0,外れ
80,2014-10-17,2,04 05 08 15 23 24 28,02 05 10 18 21 24 27,25 34,2,0,外れ
80,2014-10-17,3,04 15 17 23 24 28 36,02 05 10 18 21 24 27,25 34,1,0,外れ
80,2014-10-17,4,04 08 15 23 28 29 36,02 05 10 18 21 24 27,25 34,0,0,外れ
80,2014-10-17,5,04 13 15 23 24 28 30,02 05 10 18 21 24 27,25 34,1,0,外れ
81,2014-10-24,1,04 05 15 23 24 28 29,01 03 10 18 28 31 35,09 21,1,0,外れ
81,2014-10-24,2,02 04 07 15 23 24 28,01 03 10 18 28 31 35,09 21,1,0,外れ
81,2014-10-24,3,04 08 15 23 24 28 36,01 03 10 18 28 31 35,09 21,1,0,外れ
81,2014-10-24,4,04 10 15 17 23 24 28,01 03 10 18 28 31 35,09 21,2,0,外れ
81,2014-10-24,5,04 13 15 23 24 28 30,01 03 10 18 28 31 35,09 21,1,0,外れ
82,2014-10-31,1,04 05 10 15 23 24 28,01 03 16 20 25 27 34,18 37,0,0,外れ
82,2014-10-31,2,04 07 15 23 24 28 29,01 03 16 20 25 27 34,18 37,0,0,外れ
82,2014-10-31,3,04 08 15 23 24 28 35,01 03 16 20 25 27 34,18 37,0,0,外れ
82,2014-10-31,4,02 04 15 23 24 28 36,01 03 16 20 25 27 34,18 37,0,0,外れ
82,2014-10-31,5,04 05 08 23 24 28 29,01 03 16 20 25 27 34,18 37,0,0,外れ
83,2014-11-07,1,04 05 10 15 23 24 28,01 11 21 26 28 32 35,18 22,1,0,外れ
83,2014-11-07,2,01 04 15 23 24 28 34,01 11 21 26 28 32 35,18 22,2,0,外れ
83,2014-11-07,3,04 07 15 23 24 28 29,01 11 21 26 28 32 35,18 22,1,0,外れ
83,2014-11-07,4,04 08 15 23 24 28 35,01 11 21 26 28 32 35,18 22,2,0,外れ
83,2014-11-07,5,02 04 15 23 24 28 36,01 11 21 26 28 32 35,18 22,1,0,外れ
84,2014-11-14,1,01 04 15 23 24 28 35,08 16 23 28 29 35 36,12 37,3,0,外れ
84,2014-11-14,2,04 05 10 15 23 24 28,08 16 23 28 29 35 36,12 37,2,0,外れ
84,2014-11-14,3,01 04 07 10 23 24 28,08 16 23 28 29 35 36,12 37,2,0,外れ
84,2014-11-14,4,01 04 05 23 24 28 29,08 16 23 28 29 35 36,12 37,3,0,外れ
84,2014-11-14,5,04 07 15 23 24 28 29,08 16 23 28 29 35 36,12 37,3,0,外れ
85,2014-11-21,1,01 04 15 23 24 28 35,06 07 10 11 22 26 35,14 23,1,1,外れ
85,2014-11-21,2,04 08 15 23 24 28 29,06 07 10 11 22 26 35,14 23,0,1,外れ
