generation,genome_id,score,targets,tickets,max_main_match,rank_1等,rank_2等,rank_3等,rank_4等,rank_5等,rank_6等,rank_外れ,full_weight,recent240_weight,recent120_weight,recent60_weight,pair_weight,pair_recency_weight,pair_stability_weight,triple_weight,dormancy_weight,odd_bonus,sum_bonus,low_high_bonus,consecutive_penalty,overlap_limit,pool_size,target_sum_min,target_sum_max,max_consecutive_pairs,shard_id,num_shards,completed_at
0,g000_0020_6685,9601.277006,240,1200,5,0,0,0,5,25,36,1134,0.4247225185715176,0.09654039117543405,0.4405114420178842,0.03822564823516412,0.19695377175241038,0.08562255743081376,0.12549134122386985,0.09046513881159107,0.01237478605406638,0.18543521038173527,0.3097869943148577,0.17256301350123282,0.5859314312546918,5,16,105,184,2,4,8,2026-06-13T11:24:10.267687+00:00
0,g000_0028_6143,8862.036051,240,1200,5,0,0,0,5,19,29,1147,0.4184140356527688,0.20682043787370855,0.15915928096781426,0.21560624550570834,0.15654488491464108,0.235232060198809,0.07381637287656855,0.08961872685393989,0.02774465404716454,0.411823805185934,0.3848175459021721,0.299104987389368,0.567515680238856,4,18,99,175,1,4,8,2026-06-13T11:27:54.732524+00:00
0,g000_0036_6761,10528.367976,240,1200,5,0,0,0,7,21,37,1135,0.3300163322145925,0.125592039005297,0.30122048682970803,0.24317114195040235,0.11169866073537282,0.11269641832196398,0.021545988418666204,0.07045404723455936,0.04304381510658851,0.6103972384126937,0.20954205453502456,0.08029159009990128,0.5116454735879608,5,19,84,178,1,4,8,2026-06-13T11:33:26.694734+00:00
0,g000_0004_9292,8935.501043,240,1200,5,0,0,0,3,32,40,1125,0.3076425811449668,0.28488810976019074,0.16180530793814427,0.2456640011566981,0.02947023309681664,0.2054302116653461,0.17936745291856088,0.03738645262012818,0.04549676471329207,0.5590933651661603,0.3805093119553494,0.22360683426449268,0.43924295860316054,6,20,80,187,1,4,8,2026-06-13T11:36:18.509308+00:00
0,g000_0044_4127,8896.359978,240,1200,5,0,0,0,4,25,36,1135,0.33390340687336234,0.25830123931174115,0.16473646673551454,0.24305888707938209,0.07211934217276035,0.057325798938832245,0.14470739428236218,0.07888157671237184,0.04236600915316017,0.22922769131897844,0.2952327937708531,0.2968830624834858,0.30307685198721546,4,20,101,180,2,4,8,2026-06-13T11:42:08.682177+00:00
0,g000_0012_9430,8971.271666,240,1200,5,0,0,0,3,32,40,1125,0.1716391167469924,0.30715472805169003,0.1729001799888747,0.34830597521244294,0.03360987491709428,0.1883241109375324,0.18588482775725218,0.010496645225743995,0.018739038225079642,0.21102018690934032,0.30917068656623103,0.27757719446052476,0.10087370357115952,6,21,93,173,2,4,8,2026-06-13T11:43:21.326476+00:00
0,g000_0052_2391,8148.724491,240,1200,5,0,0,0,2,30,40,1128,0.39465208274567665,0.16383805547576583,0.23461220471803781,0.20689765706051977,0.16988654601349945,0.1577797139913049,0.1947904263805321,0.02047239115414864,0.009036705260595211,0.34659803591256455,0.39777415696568175,0.41051074472802623,0.4322240611420285,6,20,104,174,1,4,8,2026-06-13T11:47:43.437321+00:00
0,g000_0084_2996,8769.497283,240,1200,5,0,0,0,4,24,35,1137,0.30569418642733176,0.007441553472316406,0.3673114160054052,0.3195528440949466,0.1847018854416184,0.14904324175388206,0.09533730325432455,0.03723953828496423,0.011531869349219077,0.3414470976242941,0.40860065859304107,0.4003615064821859,0.4640622653428641,5,14,83,185,1,4,8,2026-06-13T11:48:25.587335+00:00
0,g000_0060_2358,16458.604184,240,1200,6,0,1,0,4,19,39,1137,0.3537104516407658,0.08389302517606143,0.41909404620616236,0.1433024769770105,0.17795923923662024,0.14306237160526764,0.031990122755792966,0.0609038282025314,0.023159616787213125,0.3207080372269348,0.436944084024798,0.31235700886512985,0.1806958591562063,4,21,98,185,2,4,8,2026-06-13T11:57:56.416986+00:00
0,g000_0100_6142,9028.652895,240,1200,5,0,0,0,4,25,40,1131,0.41190930660974245,0.30899307474715404,0.07824082376885512,0.20085679487424837,0.12184895027125814,0.2400446064977726,0.04829108960721996,0.09078274922395901,0.03399319647942381,0.6359175505005005,0.48504328408947983,0.1441126233018355,0.12389943479912222,6,20,104,182,2,4,8,2026-06-13T12:12:09.873609+00:00
0,g000_0068_4316,8671.37035,240,1200,5,0,0,0,3,29,38,1130,0.08601335926627714,0.4737892675156712,0.24769225778351792,0.1925051154345338,0.19905990337796564,0.10123155612095804,0.1640365581908021,0.03178838865167192,0.02311797282829298,0.1633763810471889,0.1849876486889328,0.11872216467365133,0.1633570973159564,6,22,97,183,1,4,8,2026-06-13T12:13:44.196569+00:00
0,g000_0076_1922,8182.809749,240,1200,5,0,0,0,2,31,38,1129,0.2969630987736616,0.2346915244364267,0.030423676987829898,0.43792169980208184,0.15824723260743248,0.05512207197796168,0.0771697080245285,0.06201376883984533,0.0391005863560849,0.600829874300879,0.12663430613473667,0.30772305092441093,0.40372708160861515,6,22,88,171,1,4,8,2026-06-13T12:14:59.423892+00:00
