rank,generation,genome_id,score,max_main_match,best_rank_count,shard_id,num_shards,updated_at
1,7,g007_0046_3282,37787.324128,5,2,6,8,2026-06-20T10:50:13.912107+00:00
2,7,g007_0030_4173,36456.713192,5,2,6,8,2026-06-20T10:50:13.912119+00:00
3,7,g007_0014_4513,31539.626221,5,1,6,8,2026-06-20T10:50:13.912122+00:00
4,7,g007_0078_2015,31487.822946,5,1,6,8,2026-06-20T10:50:13.912124+00:00
5,7,g007_0086_5179,31044.591693,5,1,6,8,2026-06-20T10:50:13.912126+00:00
6,7,g007_0102_9640,30880.15872,5,1,6,8,2026-06-20T10:50:13.912128+00:00
