rank,generation,genome_id,score,max_main_match,best_rank_count,shard_id,num_shards,updated_at
1,6,g006_0113_5048,39515.279913,5,2,1,8,2026-06-19T18:18:07.451614+00:00
2,6,g006_0081_2317,38995.930435,5,2,1,8,2026-06-19T18:18:07.451622+00:00
3,6,g006_elite_0001,38336.193398,5,2,1,8,2026-06-19T18:18:07.451625+00:00
4,6,g006_0033_8702,35920.346394,5,2,1,8,2026-06-19T18:18:07.451627+00:00
5,6,g006_0057_1547,34822.473403,5,2,1,8,2026-06-19T18:18:07.451630+00:00
6,6,g006_0017_7867,32585.276448,5,1,1,8,2026-06-19T18:18:07.451632+00:00
