rank,generation,genome_id,score,max_main_match,best_rank_count,shard_id,num_shards,updated_at
1,28,g028_0012_9897,4421.232528,5,2,4,8,2026-06-17T08:39:39.596858+00:00
2,28,g028_0100_7743,4388.318125,5,2,4,8,2026-06-17T08:39:39.596870+00:00
3,28,g028_0052_4985,4154.969485,5,1,4,8,2026-06-17T08:39:39.596874+00:00
4,28,g028_0076_3864,4104.003604,5,1,4,8,2026-06-17T08:39:39.596876+00:00
5,28,g028_elite_0004,4033.06909,5,1,4,8,2026-06-17T08:39:39.596879+00:00
6,28,g028_0092_8969,4027.050573,5,1,4,8,2026-06-17T08:39:39.596881+00:00
