rank,generation,genome_id,score,max_main_match,best_rank_count,shard_id,num_shards,updated_at
1,2,g002_0018_7978,38707.15553,5,2,2,8,2026-06-19T14:20:47.008686+00:00
2,2,g002_0010_1409,38266.637934,5,2,2,8,2026-06-19T14:20:47.008693+00:00
3,2,g002_0098_6613,38141.04041,5,2,2,8,2026-06-19T14:20:47.008696+00:00
4,2,g002_elite_0002,37248.134648,5,2,2,8,2026-06-19T14:20:47.008699+00:00
5,2,g002_0050_1391,37099.58005,5,2,2,8,2026-06-19T14:20:47.008701+00:00
6,2,g002_0058_1402,29716.126276,5,1,2,8,2026-06-19T14:20:47.008703+00:00
