rank,generation,genome_id,score,max_main_match,best_rank_count,shard_id,num_shards,updated_at
1,27,g027_0117_6010,4704.764248,5,2,5,8,2026-06-17T10:18:29.601782+00:00
2,27,g027_0029_7436,4438.819714,5,2,5,8,2026-06-17T10:18:29.601789+00:00
3,27,g027_0093_7697,4369.30065,5,2,5,8,2026-06-17T10:18:29.601793+00:00
4,27,g027_0101_5363,4290.643811,5,2,5,8,2026-06-17T10:18:29.601795+00:00
5,27,g027_0037_5458,4072.791961,5,1,5,8,2026-06-17T10:18:29.601798+00:00
6,27,g027_elite_0005,3937.952287,5,1,5,8,2026-06-17T10:18:29.601800+00:00
