rank,generation,genome_id,score,max_main_match,best_rank_count,shard_id,num_shards,updated_at
1,32,g032_0011_2115,40992.306058,5,2,3,8,2026-06-21T22:51:58.029448+00:00
2,32,g032_0099_4539,39371.10135,5,2,3,8,2026-06-21T22:51:58.029470+00:00
3,32,g032_elite_0003,37295.594714,5,2,3,8,2026-06-21T22:51:58.029476+00:00
4,32,g032_0059_9309,35838.821167,5,2,3,8,2026-06-21T22:51:58.029481+00:00
5,32,g032_0043_9533,30600.770688,5,1,3,8,2026-06-21T22:51:58.029485+00:00
6,32,g032_0019_3296,30178.983992,5,1,3,8,2026-06-21T22:51:58.029489+00:00
