generation,genome_id,score,targets,tickets,max_main_match,rank_1等,rank_2等,rank_3等,rank_4等,rank_5等,rank_6等,rank_外れ,full_weight,recent240_weight,recent120_weight,recent60_weight,pair_weight,pair_recency_weight,pair_stability_weight,triple_weight,dormancy_weight,odd_bonus,sum_bonus,low_high_bonus,consecutive_penalty,overlap_limit,pool_size,target_sum_min,target_sum_max,max_consecutive_pairs,shard_id,num_shards,completed_at,source_file
2,g002_0032_1458,24355.251723,620,3100,6,0,0,1,10,49,65,2975,0.4775785328307226,0.07127867992933212,0.2993157591615916,0.1518270280783537,0.14727850981753485,0.09504847572156291,0.0,0.08341615114099378,0.014169420487161593,0.484326057130459,0.23797260575987617,0.04095555484145377,0.5346975089142654,5,20,84,183,0,0,4,2026-06-11T22:46:56.924461+00:00,outputs/evolution_history_shard00_of_04.csv
3,g003_0044_4258,24279.783928,621,3105,6,0,0,1,9,49,90,2956,0.2936812436367071,0.20391043984780818,0.30669844284846354,0.195709873667021,0.11306254743951352,0.22708438170484277,0.08827038621257624,0.09892292100406788,0.03378276638281704,0.4252324806640709,0.19867022075517055,0.13547177301547325,0.6232312799779525,6,22,99,194,1,0,4,2026-06-12T22:56:33.944669+00:00,outputs/evolution_history_shard00_of_04.csv
2,g002_0083_5891,24054.719763,620,3100,6,0,0,1,9,48,84,2958,0.31779797411721256,0.20729628057544267,0.27625832354025276,0.1986474217670921,0.10572992077582408,0.2942957540143219,0.09314977979746791,0.06562196628762153,0.008236889878965738,0.0881488127026225,0.28078379870223663,0.11357833836465966,0.49520098968354864,6,18,103,178,2,3,4,2026-06-12T05:25:31.498418+00:00,outputs/evolution_history_shard03_of_04.csv
1,g001_0186_4787,23972.070134,620,3100,6,0,0,1,9,45,90,2955,0.2246067636213303,0.3408670106302331,0.011115259919241179,0.42341096582919535,0.10364571118216667,0.15676434098298936,0.07935379880271268,0.10581347808117617,0.03568357494850989,0.6609178413184775,0.3635008168726164,0.4472535249063057,0.3346220632536536,6,20,98,187,2,2,4,2026-06-12T09:07:26.400124+00:00,outputs/evolution_history_shard02_of_04.csv
1,g001_0182_3191,23934.682252,620,3100,6,0,0,1,9,45,89,2956,0.16271441572348355,0.5244996411045527,0.008939403443097398,0.3038465397288662,0.11065369316959671,0.1969686449789241,0.17976789651634953,0.11575285755783694,0.022003461998859393,0.5157507202200133,0.32108917238080203,0.4328507294652557,0.27219122696552883,6,18,98,187,1,2,4,2026-06-12T08:43:25.437847+00:00,outputs/evolution_history_shard02_of_04.csv
1,g001_0155_5461,23816.842348,620,3100,6,0,0,1,9,44,85,2961,0.053187661127276804,0.245992153694133,0.3446128616488944,0.35620732352969575,0.05890391571670256,0.14085759006447202,0.04825579702831333,0.05769230679056525,0.055021507641481164,0.2734284231121107,0.5042178488227748,0.20011348082363206,0.5384196401717313,5,21,101,160,0,3,4,2026-06-12T02:53:32.393955+00:00,outputs/evolution_history_shard03_of_04.csv
1,g001_0091_9358,23779.860815,620,3100,6,0,0,1,9,45,83,2962,0.285974404130527,0.35547371138154793,0.11475048219658635,0.24380140229133868,0.09507175008578157,0.1975135720934776,0.02681980211310438,0.09120763495505019,0.029022295953305535,0.127579893469839,0.23059482309310078,0.20712510513886123,0.5191744427006163,6,20,108,172,3,3,4,2026-06-11T23:58:07.959492+00:00,outputs/evolution_history_shard03_of_04.csv
1,g001_0130_1514,23599.439943,620,3100,6,0,0,1,8,48,92,2951,0.27192970681246115,0.4275128016671013,0.008276715237719804,0.2922807762827177,0.09219859659445039,0.10408894274852991,0.06712436432332916,0.11605177188734453,0.04623183098916707,0.4828543798550215,0.48131201935386564,0.4724372241296916,0.3616303487400085,6,17,103,169,2,2,4,2026-06-12T06:53:33.379489+00:00,outputs/evolution_history_shard02_of_04.csv
0,g000_0054_5514,23513.781659,620,3100,6,0,0,1,8,51,78,2962,0.44621916741873646,0.0982955003960295,0.09101741146408508,0.36446792072114903,0.19201625240017656,0.22696008811212945,0.11497222903149934,0.05851656626957095,0.026661187038550034,0.2167991234824207,0.5950079770100118,0.0516524083845082,0.21861645285574147,6,18,94,164,1,2,4,2026-06-11T09:10:02.752349+00:00,outputs/evolution_history_shard02_of_04.csv
1,g001_0080_8871,23502.40856,620,3100,6,0,0,1,8,48,87,2956,0.26933473606712255,0.142223021430382,0.347085648549493,0.24135659395300257,0.14875281521223194,0.1347697201453062,0.10520731892328675,0.08416752493791763,0.051048786645550084,0.24870898629255164,0.22282233691486883,0.10734078373671194,0.547947064529649,6,17,106,173,1,0,4,2026-06-11T12:59:45.463569+00:00,outputs/evolution_history_shard00_of_04.csv
