full_weight,recent240_weight,recent120_weight,recent60_weight,pair_weight,pair_recency_weight,pair_stability_weight,triple_weight,dormancy_weight,odd_bonus,sum_bonus,low_high_bonus,consecutive_penalty,overlap_limit,pool_size,target_sum_min,target_sum_max,max_consecutive_pairs,id,generation,score,parents
0.20917899776280777,0.3749604000786588,0.1087505290932123,0.3071100730653213,0.1461179171380695,0.08663249477445023,0.10295312566712113,0.014543473839290982,0.03735456376976311,0.23344707847912596,0.3534299439957599,0.2698558998150805,0.370384046635022,3,22,86,161,4,breed_0000_2449,6,0.0,"['g001_0058_7946', 'g005_0026_7697']"
0.3071528449740518,0.2734957357573193,0.1747831248655635,0.2445682944030655,0.16351576641058088,0.047117863704476196,0.1208307678774685,0.08393353627414814,0.020651242922608535,0.2988735228114219,0.4751164420552426,0.12855660010416384,0.14226518165827573,4,14,88,187,1,breed_0001_9356,2,0.0,"['g001_0121_3591', 'g000_0065_1528']"
0.37682779201644817,0.1739876332133762,0.16110841882347815,0.28807615594669733,0.15512036793799114,0.04998161095211235,0.11957260106576037,0.09632744147615628,0.030865323459728766,0.27953527313665993,0.45679420391617476,0.13396201690265952,0.4696926745813723,4,17,89,186,2,breed_0002_5459,2,0.0,"['g001_0121_3591', 'g000_0065_1528']"
0.16955591097431177,0.16385896581336332,0.5565214738472982,0.11006364936502656,0.21451031331721215,0.19916992507879203,0.016358084749496637,0.07021339272659029,0.028851548868536546,0.4215265061629615,0.369850235831733,0.2479014418572888,0.46055001716775473,4,23,88,169,2,breed_0003_2115,12,0.0,"['g001_0123_5401', 'g011_0072_6961']"
0.4218469025164403,0.12393948395646892,0.09554360270352545,0.3586700108235654,0.15607122515020808,0.08806163870082492,0.04507805004201269,0.01633629349648793,0.03662975089252134,0.3281701025157813,0.36239124148953283,0.27138528925466104,0.25237625179425527,6,22,80,171,3,breed_0004_8560,8,0.0,"['g005_0026_7697', 'g007_0157_9681']"
0.055276265835831236,0.22734606392735524,0.6118325300128158,0.10554514022399775,0.18427658101502623,0.17497478349723208,0.04660111761354024,0.028815651974602414,0.019036504484634093,0.1967622078134339,0.238453231092226,0.2782749460113677,0.46837175141961607,4,22,89,170,2,breed_0005_8188,12,0.0,"['g001_0123_5401', 'g011_0072_6961']"
0.49543449259779393,0.32737598892409486,0.1125565677472718,0.0646329507308392,0.13972891870997137,0.1595438508223759,0.09255881655393335,0.0867359004921637,0.0268190742020229,0.2612413647961053,0.542009277689016,0.14073998541810018,0.5691145667729157,4,14,87,195,0,breed_0006_2955,4,0.0,"['g000_0065_1528', 'g003_0174_4267']"
0.2972418608589165,0.03785084181175589,0.569479998310293,0.09542729901903475,0.19937597755235562,0.1298365627997012,0.03423981901344147,0.031077718458558983,0.04316468538362038,0.23632411241142715,0.4155087866074371,0.4711103229085632,0.21087314143587768,4,22,89,171,0,breed_0007_1063,8,0.0,"['g001_0123_5401', 'g007_0157_9681']"
0.3501186868402245,0.19580558812571164,0.34920458690128126,0.10487113813278258,0.1556041218201817,0.055706768439210144,0.12893079788789993,0.09054240124764794,0.03164084535874423,0.22004837306918368,0.4982359076241041,0.14951026183750246,0.5698920410119749,4,21,90,187,1,breed_0008_3685,2,0.0,"['g000_0065_1528', 'g001_0058_7946']"
0.2206603537208989,0.26293240902634135,0.2897240444788308,0.22668319277392887,0.14316140398936533,0.07510630088843742,0.12597347899168979,0.09159996752423402,0.017665765216838845,0.21287063070186124,0.49323354220070503,0.16727661616490125,0.3969460452657277,4,16,90,161,2,breed_0009_7789,2,0.0,"['g001_0058_7946', 'g000_0065_1528']"
