epoch,train_loss,val_loss,val_avg_hit
1,0.5487599250148324,0.491519570350647,1.2575757575757576
2,0.48699859135291157,0.4888767600059509,1.2196969696969697
3,0.4857483067933251,0.48818427324295044,1.3106060606060606
4,0.48510438203811646,0.4878194034099579,1.2954545454545454
5,0.4847474273513345,0.4879019558429718,1.3333333333333333
6,0.48258411358384523,0.4895398020744324,1.4393939393939394
7,0.4794010292081272,0.49403154850006104,1.3333333333333333
8,0.47480378606740165,0.49899280071258545,1.4696969696969697
9,0.4693513652857612,0.5018541216850281,1.2954545454545454
10,0.4632572426515467,0.5051990151405334,1.3257575757575757
11,0.45627902886446786,0.5066711902618408,1.4090909090909092
12,0.449302275391186,0.5113797187805176,1.378787878787879
13,0.4405259437420789,0.514045774936676,1.3636363636363635
14,0.43084469086983623,0.5192999243736267,1.356060606060606
15,0.41889026585747213,0.5234480500221252,1.3484848484848484
16,0.40693724155426025,0.5268339514732361,1.3333333333333333
17,0.39224983664119945,0.5353193879127502,1.371212121212121
18,0.3777544708812938,0.5415763854980469,1.3106060606060606
19,0.3618413560530719,0.5541073083877563,1.303030303030303
20,0.348158655797734,0.561901867389679,1.3333333333333333
