number,probability
28,0.715438961982727
3,0.6879984140396118
35,0.6577357649803162
16,0.6232113242149353
8,0.6142129898071289
25,0.608984112739563
9,0.5890047550201416
6,0.5643524527549744
32,0.5495122671127319
33,0.5429731607437134
7,0.5328667163848877
19,0.5319396257400513
14,0.5250009298324585
1,0.5198794603347778
26,0.5076818466186523
37,0.5065167546272278
4,0.5049921274185181
30,0.5031775236129761
29,0.5012506246566772
23,0.5007249712944031
11,0.49763432145118713
15,0.4970282316207886
2,0.49568453431129456
21,0.49503904581069946
10,0.49373185634613037
17,0.49304044246673584
24,0.49146416783332825
12,0.48838886618614197
18,0.48830515146255493
34,0.48728513717651367
22,0.48530569672584534
31,0.4845642149448395
36,0.4837664067745209
20,0.4818795919418335
5,0.4796643555164337
27,0.4712958037853241
13,0.42469316720962524
