number,probability
27,0.5393229126930237
16,0.3888857066631317
25,0.33739835023880005
3,0.30788251757621765
37,0.2679157853126526
10,0.2517932951450348
20,0.2406473308801651
8,0.23875296115875244
28,0.2296103686094284
17,0.21631792187690735
21,0.2045290321111679
29,0.20214450359344482
13,0.18469345569610596
34,0.17471519112586975
30,0.16476744413375854
26,0.16400974988937378
32,0.1637634038925171
6,0.15797112882137299
5,0.1393311768770218
15,0.13772405683994293
4,0.11988043040037155
22,0.11556920409202576
33,0.1149003729224205
36,0.10345406085252762
1,0.10221225768327713
7,0.09727053344249725
23,0.08878082036972046
9,0.07958903908729553
11,0.06669111549854279
12,0.05717385932803154
31,0.05542381480336189
35,0.05314166471362114
19,0.051034748554229736
2,0.04565654322504997
24,0.035359811037778854
18,0.03391744941473007
14,0.01401592418551445
