numbers,structural_score,meta_ensemble_score,roi_score,final_score,sum,odd,low,consecutive,range,freq_full,freq_240,freq_120,freq_60,pair_score,bayes_score,zone_1_9,zone_10_18,zone_19_27,zone_28_37,mc_expected_payout,mc_expected_roi,mc_prob_1等,mc_prob_2等,mc_prob_3等,mc_prob_4等,mc_prob_5等,mc_prob_6等,mc_prob_外れ,ensemble_weight_structural
07 08 09 20 22 29 34,106.24404161,106.24404161,-7.12333333,205.36474988,129.0,3.0,3.0,2.0,27.0,159.79380276,108.78889705,79.53730452,51.68500404,90.33391082,1.49927106,3.0,0.0,2.0,2.0,86.3,-0.71233333,0.0,0.0,0.0,0.001,0.026,0.027,0.946,1.0
07 08 09 19 22 29 34,105.14975243,105.14975243,-4.94333333,205.35617153,128.0,4.0,3.0,2.0,27.0,159.74268019,108.35396673,79.04743372,51.65159694,79.73936721,1.52001794,3.0,0.0,2.0,2.0,151.7,-0.49433333,0.0,0.0,0.0,0.005,0.024,0.046,0.925,1.0
07 08 09 12 14 17 22,106.09638881,106.09638881,-6.85333333,205.33944429,89.0,3.0,6.0,2.0,15.0,162.54492767,112.78547682,84.35005218,57.8987073,84.70297039,1.50342043,3.0,3.0,1.0,0.0,94.4,-0.68533333,0.0,0.0,0.0,0.002,0.018,0.037,0.943,1.0
07 08 09 12 17 22 34,106.13959076,106.13959076,-6.94,205.33918151,109.0,3.0,5.0,2.0,27.0,164.03216452,113.15925271,83.82847945,55.98194646,85.79924633,1.52001794,3.0,2.0,1.0,1.0,91.8,-0.694,0.0,0.0,0.0,0.002,0.021,0.029,0.948,1.0
01 08 09 12 18 22 35,106.66789216,106.66789216,-8.03333333,205.302451,105.0,3.0,5.0,1.0,34.0,163.37273971,113.23648687,84.68029333,56.52937594,94.96105108,1.47437479,3.0,2.0,1.0,1.0,59.0,-0.80333333,0.0,0.0,0.0,0.0,0.02,0.023,0.957,1.0
07 12 13 22 29 33 34,106.08462409,106.08462409,-6.94666667,205.22258152,150.0,4.0,3.0,2.0,27.0,159.58154395,108.82748986,79.31158379,51.69484989,89.37887163,1.49927106,1.0,2.0,1.0,3.0,91.6,-0.69466667,0.0,0.0,0.0,0.002,0.022,0.027,0.949,1.0
07 12 15 22 29 34 36,106.23187737,106.23187737,-7.31666667,205.14708808,155.0,3.0,3.0,0.0,29.0,160.93364418,109.39918328,79.59791179,50.68594504,87.04213109,1.52001794,1.0,2.0,1.0,3.0,80.5,-0.73166667,0.0,0.0,0.0,0.001,0.025,0.023,0.951,1.0
07 08 12 15 22 29 36,106.17787967,106.17787967,-7.22333333,205.132426,129.0,3.0,4.0,1.0,29.0,160.20305726,109.82096158,81.17286868,53.37749295,78.63793497,1.51586857,2.0,2.0,1.0,2.0,83.3,-0.72233333,0.0,0.0,0.0,0.001,0.021,0.033,0.945,1.0
01 08 12 22 29 33 34,106.44808318,106.44808318,-7.78,205.11616636,139.0,3.0,3.0,1.0,33.0,161.0846589,110.619289,81.53358803,52.81274125,84.94870644,1.48267354,2.0,1.0,1.0,3.0,66.6,-0.778,0.0,0.0,0.0,0.0,0.022,0.027,0.951,1.0
07 08 09 12 15 22 36,105.5168911,105.5168911,-5.97,205.06378219,109.0,3.0,5.0,2.0,29.0,162.14230605,112.12787212,83.68219547,55.92269335,83.85386844,1.51586857,3.0,2.0,1.0,1.0,120.9,-0.597,0.0,0.0,0.0,0.003,0.028,0.033,0.936,1.0
07 12 13 22 29 34 36,105.90136942,105.90136942,-6.75333333,205.04940551,153.0,3.0,3.0,1.0,29.0,160.34876767,109.20039253,79.51696816,51.50239661,83.50992551,1.52001794,1.0,2.0,1.0,3.0,97.4,-0.67533333,0.0,0.0,0.0,0.002,0.018,0.04,0.94,1.0
01 07 12 15 22 29 36,106.19525872,106.19525872,-7.34666667,205.04385078,122.0,4.0,4.0,0.0,35.0,160.16586275,109.99300948,81.22435722,53.22331258,81.34027854,1.49927106,2.0,2.0,1.0,2.0,79.6,-0.73466667,0.0,0.0,0.0,0.002,0.017,0.024,0.957,1.0
01 07 12 15 22 26 29,105.82520386,105.82520386,-6.63333333,205.01707438,112.0,4.0,4.0,0.0,28.0,159.37277386,108.78200843,80.18724169,52.34744899,85.78296273,1.4909723,2.0,2.0,2.0,1.0,101.0,-0.66333333,0.0,0.0,0.0,0.002,0.02,0.04,0.938,1.0
09 12 15 18 22 35 36,106.53208796,106.53208796,-8.07333333,204.99084258,147.0,3.0,4.0,1.0,27.0,161.66973903,111.0257573,82.0251685,54.33619206,81.9302896,1.47852417,1.0,3.0,1.0,2.0,57.8,-0.80733333,0.0,0.0,0.0,0.0,0.016,0.029,0.955,1.0
01 08 09 12 13 22 29,105.88218265,105.88218265,-6.78666667,204.97769863,94.0,4.0,5.0,2.0,28.0,163.11601016,112.33504712,83.47685264,55.74805194,87.8767797,1.51171919,3.0,2.0,1.0,1.0,96.4,-0.67866667,0.0,0.0,0.0,0.002,0.018,0.039,0.941,1.0
06 07 09 18 22 29 35,106.19811168,106.19811168,-7.53666667,204.8595567,126.0,4.0,4.0,1.0,29.0,160.06946273,110.3256083,82.00648169,55.89809601,82.88249583,1.44947852,3.0,1.0,1.0,2.0,73.9,-0.75366667,0.0,0.0,0.0,0.001,0.018,0.029,0.952,1.0
07 12 18 22 29 31 34,105.68615875,105.68615875,-6.51666667,204.85565083,153.0,3.0,3.0,0.0,27.0,160.53339192,108.88468407,79.23114619,50.21556856,87.88065679,1.50342043,1.0,2.0,1.0,3.0,104.5,-0.65166667,0.0,0.0,0.0,0.003,0.02,0.031,0.946,1.0
07 08 12 13 22 29 34,106.15917726,106.15917726,-7.47333333,204.84502118,125.0,3.0,4.0,2.0,27.0,161.07493321,109.65595964,80.16734818,51.98759264,81.16248173,1.5283167,2.0,2.0,1.0,2.0,75.8,-0.74733333,0.0,0.0,0.0,0.0,0.021,0.038,0.941,1.0
01 08 09 12 15 18 22,105.73773535,105.73773535,-6.64,204.83547069,85.0,3.0,6.0,1.0,21.0,163.1678003,112.2710896,83.40622684,55.10548731,90.09906391,1.49927106,3.0,3.0,1.0,0.0,100.8,-0.664,0.0,0.0,0.0,0.002,0.026,0.029,0.943,1.0
07 12 14 22 29 34 35,105.89737658,105.89737658,-6.97333333,204.82141982,153.0,3.0,3.0,1.0,28.0,161.10809922,110.02459347,80.46897413,51.82024263,84.0874179,1.4909723,1.0,2.0,1.0,3.0,90.8,-0.69733333,0.0,0.0,0.0,0.002,0.021,0.028,0.949,1.0
08 09 14 18 22 29 35,105.94798024,105.94798024,-7.10666667,204.78929382,135.0,3.0,4.0,1.0,27.0,159.3835355,108.38164559,79.66315244,53.0652525,90.30195368,1.47437479,2.0,2.0,1.0,2.0,86.8,-0.71066667,0.0,0.0,0.0,0.002,0.016,0.033,0.949,1.0
07 08 09 12 18 22 33,106.0145392,106.0145392,-7.25,204.77907839,109.0,3.0,5.0,2.0,26.0,162.78423191,113.01584057,84.31591441,56.60273806,87.15516071,1.49512168,3.0,2.0,1.0,1.0,82.5,-0.725,0.0,0.0,0.0,0.001,0.025,0.025,0.949,1.0
01 06 07 08 22 29 36,105.41575936,105.41575936,-6.05333333,204.77818539,109.0,3.0,4.0,2.0,35.0,156.8526179,108.73463448,81.65418973,56.07483931,80.11679135,1.44947852,4.0,0.0,1.0,2.0,118.4,-0.60533333,0.0,0.0,0.0,0.004,0.023,0.027,0.946,1.0
07 08 09 12 15 22 34,105.79500487,105.79500487,-6.81333333,204.77667642,107.0,3.0,5.0,2.0,27.0,163.59905852,112.16166093,82.7576186,53.71634148,89.62985607,1.5283167,3.0,2.0,1.0,1.0,95.6,-0.68133333,0.0,0.0,0.0,0.002,0.022,0.031,0.945,1.0
01 07 08 09 22 26 34,105.51859565,105.51859565,-6.30333333,204.73385798,107.0,3.0,4.0,2.0,33.0,158.85868413,108.42251123,80.12518323,52.76821671,84.09641874,1.48682292,4.0,0.0,2.0,1.0,110.9,-0.63033333,0.0,0.0,0.0,0.003,0.023,0.032,0.942,1.0
08 09 15 18 22 29 36,105.42173901,105.42173901,-6.15,204.69347803,137.0,3.0,4.0,1.0,28.0,159.20908046,107.7562354,78.7920901,51.9309549,86.08381667,1.50342043,2.0,2.0,1.0,2.0,115.5,-0.615,0.0,0.0,0.0,0.003,0.02,0.042,0.935,1.0
08 09 12 15 18 22 29,105.6014178,105.6014178,-6.59666667,204.60616893,113.0,3.0,5.0,1.0,21.0,164.13320111,112.03954651,82.39215475,53.71120394,89.73254398,1.52416732,2.0,3.0,1.0,1.0,102.1,-0.65966667,0.0,0.0,0.0,0.003,0.022,0.025,0.95,1.0
01 06 07 08 12 22 29,106.09632806,106.09632806,-7.6,204.59265611,85.0,3.0,5.0,2.0,28.0,161.77673854,113.0179456,85.25425439,57.85508835,87.93960123,1.47022541,4.0,1.0,1.0,1.0,72.0,-0.76,0.0,0.0,0.0,0.0,0.02,0.036,0.944,1.0
01 07 08 12 22 31 34,106.20105992,106.20105992,-7.81333333,204.58878651,115.0,3.0,4.0,1.0,33.0,159.17287119,109.4384706,81.35937125,52.98442873,85.42702346,1.48267354,3.0,1.0,1.0,2.0,65.6,-0.78133333,0.0,0.0,0.0,0.0,0.017,0.035,0.948,1.0
01 08 09 12 18 19 22,105.73003742,105.73003742,-6.94,204.52007484,89.0,3.0,5.0,2.0,21.0,162.58117076,112.35063459,83.60831015,55.88425951,88.84179818,1.49512168,3.0,2.0,2.0,0.0,91.8,-0.694,0.0,0.0,0.0,0.002,0.016,0.038,0.944,1.0
08 09 12 13 18 22 29,105.58169513,105.58169513,-6.65,204.51339027,111.0,3.0,5.0,2.0,21.0,163.54832459,111.84075576,82.31121112,54.52765551,88.79021578,1.52416732,2.0,3.0,1.0,1.0,100.5,-0.665,0.0,0.0,0.0,0.003,0.02,0.027,0.95,1.0
07 08 09 18 22 29 31,105.82076503,105.82076503,-7.17666667,204.46486339,124.0,4.0,4.0,2.0,24.0,158.47230499,107.72613372,79.40316169,52.60880014,88.45206328,1.49512168,3.0,1.0,1.0,2.0,84.7,-0.71766667,0.0,0.0,0.0,0.001,0.024,0.029,0.946,1.0
07 09 17 18 22 29 36,106.03948587,106.03948587,-7.65,204.42897173,138.0,4.0,4.0,1.0,29.0,159.70078317,108.91598126,79.72663516,53.97020481,84.16141412,1.49927106,2.0,2.0,1.0,2.0,70.5,-0.765,0.0,0.0,0.0,0.001,0.015,0.031,0.953,1.0
07 09 15 18 22 29 34,105.12385127,105.12385127,-5.84666667,204.40103587,134.0,4.0,4.0,0.0,27.0,160.72442964,107.95217828,77.73119744,49.49824795,86.69165734,1.52001794,2.0,2.0,1.0,2.0,124.6,-0.58466667,0.0,0.0,0.0,0.004,0.022,0.035,0.939,1.0
08 12 13 18 19 22 29,104.99903309,104.99903309,-5.63333333,204.36473285,121.0,3.0,4.0,2.0,21.0,159.08021031,108.08977083,79.01329491,52.44752282,79.85304905,1.50756981,1.0,3.0,2.0,1.0,131.0,-0.56333333,0.0,0.0,0.0,0.004,0.025,0.036,0.935,1.0
07 09 12 13 17 22 36,105.51015432,105.51015432,-6.66,204.36030865,116.0,4.0,5.0,1.0,29.0,160.97650589,111.34355858,82.71885641,57.14258169,87.48021317,1.50342043,2.0,3.0,1.0,1.0,100.2,-0.666,0.0,0.0,0.0,0.002,0.029,0.023,0.946,1.0
07 12 14 15 22 29 34,106.06911764,106.06911764,-7.86,204.27823529,133.0,3.0,4.0,1.0,27.0,160.9031598,109.0591962,79.19490764,50.396354,88.40791309,1.51586857,1.0,3.0,1.0,2.0,64.2,-0.786,0.0,0.0,0.0,0.0,0.014,0.039,0.947,1.0
07 12 13 14 22 29 34,105.6408279,105.6408279,-7.08333333,204.19832246,131.0,3.0,4.0,2.0,27.0,160.31828329,108.86040544,79.11396401,51.21280557,84.06085923,1.51586857,1.0,3.0,1.0,2.0,87.5,-0.70833333,0.0,0.0,0.0,0.001,0.025,0.03,0.944,1.0
07 08 09 12 18 22 31,105.57546137,105.57546137,-6.95333333,204.1975894,107.0,3.0,5.0,2.0,24.0,161.74205379,111.61337291,83.31542987,55.45231688,89.72813492,1.49927106,3.0,2.0,1.0,1.0,91.4,-0.69533333,0.0,0.0,0.0,0.002,0.018,0.034,0.946,1.0
07 09 14 17 22 33 36,105.31289531,105.31289531,-6.43333333,204.19245729,138.0,4.0,4.0,0.0,29.0,156.12741777,107.67369592,79.89422314,55.82571551,84.86012009,1.4536279,2.0,2.0,1.0,2.0,107.0,-0.64333333,0.0,0.0,0.0,0.004,0.015,0.03,0.951,1.0
07 09 12 13 18 22 36,105.17436214,105.17436214,-6.16666667,204.18205761,117.0,3.0,5.0,1.0,29.0,161.95254946,111.60683792,82.48709886,55.36456814,86.19650462,1.51171919,2.0,3.0,1.0,1.0,115.0,-0.61666667,0.0,0.0,0.0,0.002,0.025,0.045,0.928,1.0
07 09 12 15 18 22 29,105.63135423,105.63135423,-7.09,204.17270846,112.0,4.0,5.0,0.0,22.0,164.19179782,112.20170059,82.25583897,53.48484886,89.61387998,1.5283167,2.0,3.0,1.0,1.0,87.3,-0.709,0.0,0.0,0.0,0.001,0.026,0.028,0.945,1.0
12 15 17 22 29 34 36,105.24383521,105.24383521,-6.32666667,204.16100375,165.0,3.0,3.0,0.0,24.0,160.29412382,108.65150641,78.85183215,51.31573688,83.6370378,1.50342043,0.0,3.0,1.0,3.0,110.2,-0.63266667,0.0,0.0,0.0,0.002,0.029,0.033,0.936,1.0
08 09 15 18 22 29 34,105.39656734,105.39656734,-6.64333333,204.14980135,135.0,3.0,4.0,1.0,26.0,160.66583293,107.7900242,77.86751322,49.72460303,89.33242554,1.51586857,2.0,2.0,1.0,2.0,100.7,-0.66433333,0.0,0.0,0.0,0.003,0.024,0.02,0.953,1.0
07 09 12 13 18 22 29,105.80108237,105.80108237,-7.48,204.12216474,110.0,4.0,5.0,1.0,22.0,163.6069213,112.00290984,82.17489533,54.30130043,90.2503085,1.5283167,2.0,3.0,1.0,1.0,75.6,-0.748,0.0,0.0,0.0,0.0,0.027,0.027,0.946,1.0
07 12 15 22 29 31 34,105.19514513,105.19514513,-6.27,204.12029026,150.0,4.0,3.0,0.0,27.0,159.12424235,107.62381295,78.39204289,49.72797714,88.97647571,1.50342043,1.0,2.0,1.0,3.0,111.9,-0.627,0.0,0.0,0.0,0.003,0.023,0.033,0.941,1.0
07 12 15 20 22 29 34,105.73082954,105.73082954,-7.34333333,204.11832575,139.0,3.0,3.0,0.0,27.0,160.11027312,108.78611113,78.98698964,50.12115215,89.81585677,1.49927106,1.0,2.0,2.0,2.0,79.7,-0.73433333,0.0,0.0,0.0,0.001,0.024,0.024,0.951,1.0
08 09 14 18 19 22 29,105.4699191,105.4699191,-6.82333333,204.11650487,119.0,3.0,4.0,2.0,21.0,158.59196655,107.49579331,78.59116925,52.42013606,88.01431411,1.49512168,2.0,2.0,2.0,1.0,95.3,-0.68233333,0.0,0.0,0.0,0.003,0.016,0.029,0.952,1.0
01 07 09 12 29 34 36,105.11481405,105.11481405,-6.11333333,204.11629476,128.0,4.0,4.0,0.0,35.0,159.30315904,108.43148184,78.71629316,48.87250691,88.06623172,1.49927106,3.0,1.0,0.0,3.0,116.6,-0.61133333,0.0,0.0,0.0,0.004,0.022,0.027,0.947,1.0
07 08 09 13 20 22 29,105.30688228,105.30688228,-6.57333333,204.04043122,108.0,4.0,4.0,2.0,22.0,157.46430968,107.42877003,79.0780615,53.33083531,84.95467776,1.4909723,3.0,1.0,2.0,1.0,102.8,-0.65733333,0.0,0.0,0.0,0.002,0.026,0.031,0.941,1.0
01 12 13 18 22 29 34,105.37857302,105.37857302,-6.75333333,204.0038127,129.0,3.0,4.0,1.0,33.0,161.37426191,109.34361001,79.24099952,50.68519057,83.55811554,1.50342043,1.0,3.0,1.0,2.0,97.4,-0.67533333,0.0,0.0,0.0,0.002,0.018,0.04,0.94,1.0
01 09 12 20 22 29 30,105.70837106,105.70837106,-7.42,203.99674212,123.0,3.0,3.0,1.0,29.0,159.79487592,109.47206387,80.60158062,52.63528977,87.56130332,1.45777728,2.0,1.0,2.0,2.0,77.4,-0.742,0.0,0.0,0.0,0.0,0.023,0.036,0.941,1.0
07 12 13 18 22 29 36,105.88685776,105.88685776,-7.78666667,203.98704886,137.0,3.0,4.0,1.0,29.0,160.01330066,109.29992738,79.97777207,52.81936773,81.4097966,1.51171919,1.0,3.0,1.0,2.0,66.4,-0.77866667,0.0,0.0,0.0,0.0,0.018,0.034,0.948,1.0
07 08 09 15 22 34 36,105.56212728,105.56212728,-7.16666667,203.9575879,131.0,3.0,4.0,2.0,29.0,158.67493788,107.87834981,79.15755394,51.93609245,85.53780538,1.50756981,3.0,1.0,1.0,2.0,85.0,-0.71666667,0.0,0.0,0.0,0.002,0.02,0.024,0.954,1.0
07 08 09 12 29 34 36,104.91555558,104.91555558,-5.88333333,203.94777783,135.0,3.0,4.0,2.0,29.0,159.34035355,108.25943394,78.66480462,49.02668728,83.84822642,1.51586857,3.0,1.0,0.0,3.0,123.5,-0.58833333,0.0,0.0,0.0,0.003,0.03,0.032,0.935,1.0
07 08 09 13 22 29 34,105.4525253,105.4525253,-7.02333333,203.88171727,122.0,4.0,4.0,2.0,27.0,159.74443321,108.07563099,78.76440678,51.68927631,82.67761817,1.52416732,3.0,1.0,1.0,2.0,89.3,-0.70233333,0.0,0.0,0.0,0.001,0.026,0.03,0.943,1.0
07 09 12 17 22 28 31,105.75078633,105.75078633,-7.62333333,203.87823934,126.0,4.0,4.0,0.0,24.0,157.454945,109.02245643,81.31193618,55.49388867,83.99033306,1.44947852,2.0,2.0,1.0,2.0,71.3,-0.76233333,0.0,0.0,0.0,0.001,0.016,0.03,0.953,1.0
07 08 09 12 15 17 22,105.46439326,105.46439326,-7.05666667,203.87211985,90.0,4.0,6.0,2.0,15.0,162.28754795,111.99791644,83.45018007,56.81132615,83.38100118,1.51171919,3.0,3.0,1.0,0.0,88.3,-0.70566667,0.0,0.0,0.0,0.001,0.021,0.038,0.94,1.0
07 12 15 18 22 34 35,105.42716737,105.42716737,-7.01666667,203.83766807,143.0,3.0,4.0,1.0,28.0,160.31763311,108.97428482,79.41753259,50.90674843,86.76170733,1.48682292,1.0,3.0,1.0,2.0,89.5,-0.70166667,0.0,0.0,0.0,0.001,0.025,0.032,0.942,1.0
08 09 18 22 29 34 35,105.46948778,105.46948778,-7.12,203.81897557,155.0,3.0,3.0,2.0,27.0,160.87077235,108.75542148,79.14157972,51.14849166,87.05077625,1.4909723,2.0,1.0,1.0,3.0,86.4,-0.712,0.0,0.0,0.0,0.002,0.013,0.038,0.947,1.0
07 12 15 22 26 29 34,105.64641774,105.64641774,-7.51,203.78283548,145.0,3.0,3.0,0.0,27.0,160.14055529,108.18818223,78.56079626,49.81008144,89.68977554,1.51171919,1.0,2.0,2.0,2.0,74.7,-0.751,0.0,0.0,0.0,0.001,0.019,0.028,0.952,1.0
01 08 09 12 15 22 29,105.67688405,105.67688405,-7.59333333,203.76043476,96.0,4.0,5.0,1.0,28.0,163.70088668,112.53383787,83.55779627,54.93160036,86.94393066,1.51171919,3.0,2.0,1.0,1.0,72.2,-0.75933333,0.0,0.0,0.0,0.0,0.024,0.029,0.947,1.0
01 08 09 12 14 22 31,105.29443027,105.29443027,-6.83,203.75886053,97.0,3.0,5.0,1.0,30.0,160.49449273,111.14995599,83.56400301,56.12428131,91.55480009,1.47022541,3.0,2.0,1.0,1.0,95.1,-0.683,0.0,0.0,0.0,0.003,0.017,0.027,0.953,1.0
01 07 09 12 13 22 26,105.61245129,105.61245129,-7.46666667,203.75823592,90.0,4.0,5.0,1.0,25.0,160.72714614,110.89012822,82.61562484,55.70910097,93.9562236,1.4909723,3.0,2.0,2.0,0.0,76.0,-0.74666667,0.0,0.0,0.0,0.0,0.025,0.031,0.944,1.0
08 09 14 17 22 29 34,105.62655304,105.62655304,-7.58666667,203.66643942,133.0,3.0,4.0,1.0,26.0,159.94716909,108.31430524,78.99914289,52.58999773,85.78975298,1.49927106,2.0,2.0,1.0,2.0,72.4,-0.75866667,0.0,0.0,0.0,0.0,0.023,0.031,0.946,1.0
01 12 14 15 22 29 34,105.6820095,105.6820095,-7.7,203.66401899,127.0,3.0,4.0,1.0,33.0,160.80736858,109.06909002,79.38271197,50.46852871,88.10766421,1.49512168,1.0,3.0,1.0,2.0,69.0,-0.77,0.0,0.0,0.0,0.0,0.02,0.033,0.947,1.0
01 07 09 12 13 22 34,105.76229714,105.76229714,-7.89333333,203.63126094,98.0,4.0,5.0,1.0,33.0,162.9769875,112.13491808,82.72816351,54.37861269,91.13683701,1.51171919,3.0,2.0,1.0,1.0,63.2,-0.78933333,0.0,0.0,0.0,0.0,0.019,0.029,0.952,1.0
07 09 12 13 18 22 34,104.93512947,104.93512947,-6.25333333,203.61692561,115.0,3.0,5.0,1.0,27.0,163.40930193,111.64062673,81.56252199,53.15821626,87.66127186,1.52416732,2.0,3.0,1.0,1.0,112.4,-0.62533333,0.0,0.0,0.0,0.002,0.028,0.037,0.933,1.0
08 09 12 14 22 29 36,105.17820219,105.17820219,-6.76,203.59640438,130.0,2.0,4.0,1.0,28.0,163.26929537,112.69378324,83.75579982,55.68796584,89.11524582,1.51171919,2.0,2.0,1.0,2.0,97.2,-0.676,0.0,0.0,0.0,0.002,0.024,0.029,0.945,1.0
01 06 07 08 12 22 35,105.81218043,105.81218043,-8.08,203.54436085,91.0,3.0,5.0,2.0,34.0,160.03944201,112.45972348,85.53764815,58.9652725,90.51802284,1.43288101,4.0,1.0,1.0,1.0,57.6,-0.808,0.0,0.0,0.0,0.0,0.017,0.027,0.956,1.0
12 14 15 17 22 29 34,105.24361662,105.24361662,-6.95,203.53723324,143.0,3.0,4.0,1.0,22.0,160.26363944,108.31151932,78.448828,51.02614584,86.35732929,1.49927106,0.0,4.0,1.0,2.0,91.5,-0.695,0.0,0.0,0.0,0.001,0.025,0.034,0.94,1.0
01 06 07 08 22 29 35,105.50507586,105.50507586,-7.48333333,203.52681838,108.0,4.0,4.0,2.0,34.0,156.76969321,108.57248429,81.62537997,56.12175576,84.63854929,1.42873164,4.0,0.0,1.0,2.0,75.5,-0.74833333,0.0,0.0,0.0,0.001,0.02,0.027,0.952,1.0
07 09 13 18 22 29 36,105.18805556,105.18805556,-6.86666667,203.50944444,134.0,4.0,4.0,0.0,29.0,158.68280066,107.71959873,78.57483067,52.5210514,82.99034762,1.50756981,2.0,2.0,1.0,2.0,94.0,-0.68666667,0.0,0.0,0.0,0.002,0.02,0.033,0.945,1.0
08 09 12 18 22 29 34,105.2989979,105.2989979,-7.14,203.45799579,132.0,2.0,4.0,1.0,26.0,165.87781768,113.20088279,82.77045414,52.88182424,92.3373108,1.53246608,2.0,2.0,1.0,2.0,85.8,-0.714,0.0,0.0,0.0,0.002,0.016,0.032,0.95,1.0
08 09 17 18 22 29 34,105.53316949,105.53316949,-7.65,203.41633898,137.0,3.0,4.0,2.0,26.0,161.09893893,108.78761598,78.93837408,51.99020801,83.76861803,1.50756981,2.0,2.0,1.0,2.0,70.5,-0.765,0.0,0.0,0.0,0.001,0.02,0.022,0.957,1.0
01 07 08 12 18 22 29,105.33322817,105.33322817,-7.26333333,203.40312301,97.0,3.0,5.0,1.0,28.0,162.30117786,111.70944771,82.71384054,54.19610004,89.47324909,1.50756981,3.0,2.0,1.0,1.0,82.1,-0.72633333,0.0,0.0,0.0,0.001,0.022,0.03,0.947,1.0
12 13 14 17 22 29 34,104.81183922,104.81183922,-6.22666667,203.39701176,141.0,3.0,4.0,2.0,22.0,159.67876293,108.11272857,78.36788437,51.84259741,81.9812116,1.49927106,0.0,4.0,1.0,2.0,113.2,-0.62266667,0.0,0.0,0.0,0.002,0.029,0.036,0.933,1.0
08 09 12 14 15 22 29,105.2415313,105.2415313,-7.18333333,203.29972926,109.0,3.0,5.0,2.0,21.0,162.98143126,111.56623577,82.45292356,54.31099365,87.97642849,1.51586857,2.0,3.0,1.0,1.0,84.5,-0.71833333,0.0,0.0,0.0,0.001,0.025,0.027,0.947,1.0
08 09 12 22 29 34 36,104.75043792,104.75043792,-6.20666667,203.29420918,150.0,2.0,3.0,1.0,28.0,164.75653221,113.06755913,83.23422709,53.771205,86.28680331,1.5283167,2.0,1.0,1.0,3.0,113.8,-0.62066667,0.0,0.0,0.0,0.002,0.031,0.033,0.934,1.0
08 09 12 14 22 29 34,105.04341512,105.04341512,-6.8,203.28683023,128.0,2.0,4.0,1.0,26.0,164.72604784,112.72757204,82.83122295,53.48161396,91.45039299,1.52416732,2.0,2.0,1.0,2.0,96.0,-0.68,0.0,0.0,0.0,0.002,0.02,0.035,0.943,1.0
07 09 12 13 15 22 34,104.60131224,104.60131224,-5.94,203.26262448,112.0,4.0,5.0,1.0,27.0,162.00015236,110.3797556,80.72341869,52.67062483,90.0670607,1.52416732,2.0,3.0,1.0,1.0,121.8,-0.594,0.0,0.0,0.0,0.002,0.031,0.041,0.926,1.0
01 06 07 08 22 29 34,105.45732804,105.45732804,-7.67333333,203.24132275,107.0,3.0,4.0,2.0,33.0,158.30937037,108.76842329,80.72961286,53.86848744,83.92156983,1.46192666,4.0,0.0,1.0,2.0,69.8,-0.76733333,0.0,0.0,0.0,0.0,0.021,0.032,0.947,1.0
01 09 12 15 17 22 34,104.43510977,104.43510977,-5.65666667,203.21355288,110.0,4.0,5.0,0.0,33.0,162.92234365,111.58603195,82.0630275,54.19195295,85.68350637,1.49512168,2.0,3.0,1.0,1.0,130.3,-0.56566667,0.0,0.0,0.0,0.003,0.031,0.037,0.929,1.0
07 12 13 15 22 29 34,105.39017291,105.39017291,-7.58,203.20034581,132.0,4.0,4.0,1.0,27.0,160.06090356,108.07284507,78.2140919,50.12542443,85.91672802,1.52416732,1.0,3.0,1.0,2.0,72.6,-0.758,0.0,0.0,0.0,0.0,0.022,0.033,0.945,1.0
01 06 07 08 12 22 33,105.34089567,105.34089567,-7.48333333,203.19845801,89.0,3.0,5.0,2.0,32.0,159.35514298,112.248971,85.36107355,59.11080933,87.15501995,1.43288101,4.0,1.0,1.0,1.0,75.5,-0.74833333,0.0,0.0,0.0,0.001,0.02,0.027,0.952,1.0
12 15 17 18 22 29 34,105.23264184,105.23264184,-7.40333333,203.06195034,147.0,3.0,4.0,1.0,22.0,161.41540928,108.78483006,78.3880592,50.42635612,85.02293406,1.50756981,0.0,4.0,1.0,2.0,77.9,-0.74033333,0.0,0.0,0.0,0.001,0.028,0.015,0.956,1.0
07 09 14 15 22 29 34,104.93279638,104.93279638,-6.83333333,203.03225942,130.0,4.0,4.0,1.0,27.0,159.5726598,107.47886754,77.79196625,50.09803767,86.34247194,1.51171919,2.0,2.0,1.0,2.0,95.0,-0.68333333,0.0,0.0,0.0,0.002,0.025,0.025,0.948,1.0
07 09 12 13 17 18 22,105.09498702,105.09498702,-7.16666667,203.02330738,98.0,4.0,6.0,2.0,15.0,162.09779135,111.47688223,82.25508346,56.25320093,85.49966004,1.50756981,2.0,4.0,1.0,0.0,85.0,-0.71666667,0.0,0.0,0.0,0.002,0.015,0.033,0.95,1.0
01 06 07 08 20 22 29,105.21403738,105.21403738,-7.43666667,202.9914081,93.0,3.0,4.0,2.0,28.0,156.02924683,108.12156233,81.04326758,55.51004643,85.38489912,1.42873164,4.0,0.0,2.0,1.0,76.9,-0.74366667,0.0,0.0,0.0,0.001,0.023,0.023,0.953,1.0
01 06 07 08 09 14 35,93.3941956,93.3941956,16.19333333,202.98172453,80.0,4.0,6.0,3.0,34.0,152.47751671,105.11356137,78.6482159,53.37400645,84.87691774,1.39968599,5.0,1.0,0.0,1.0,785.8,1.61933333,0.0,0.0,0.001,0.002,0.016,0.032,0.949,1.0
