created_at,iteration,genome_id,roi_percent,profit,high_grade_hit_count,max_main_match,best_roi_percent,best_profit
2026-06-25T07:24:09.431182+00:00,11,g011_0011_6692,22.036,-727400,7,5,63.773,-338000
2026-06-25T07:25:10.908560+00:00,12,g012_0012_9217,22.101,-726800,6,5,63.773,-338000
2026-06-25T07:26:12.703725+00:00,13,g013_0013_7812,20.3,-743600,5,5,63.773,-338000
2026-06-25T07:28:03.042935+00:00,14,g014_0014_4101,19.453,-751500,3,5,63.773,-338000
2026-06-25T07:36:44.679270+00:00,15,g015_0015_8722,21.929,-728400,5,5,63.773,-338000
2026-06-25T07:38:34.555219+00:00,16,g016_0016_1295,21.393,-733400,6,5,63.773,-338000
2026-06-25T07:47:16.460323+00:00,17,g017_0017_3344,22.722,-721000,8,5,63.773,-338000
2026-06-25T07:49:06.731961+00:00,18,g018_0018_7560,22.444,-723600,7,5,63.773,-338000
2026-06-25T07:50:07.964015+00:00,19,g019_0019_2523,21.779,-729800,7,5,63.773,-338000
2026-06-25T07:53:20.272724+00:00,20,g020_0020_7117,17.128,-773200,3,5,63.773,-338000
2026-06-25T08:02:04.431537+00:00,21,g021_0021_3820,18.382,-761500,3,5,63.773,-338000
2026-06-25T08:10:47.558299+00:00,22,g022_0022_5648,19.646,-749700,4,5,63.773,-338000
2026-06-25T08:14:00.257366+00:00,23,g023_0023_2903,21.018,-736900,6,5,63.773,-338000
2026-06-25T08:15:02.474560+00:00,24,g024_0024_2644,18.907,-756600,4,5,63.773,-338000
2026-06-25T08:16:52.522505+00:00,25,g025_0025_8289,19.979,-746600,4,5,63.773,-338000
2026-06-25T08:17:53.907186+00:00,26,g026_0026_6880,21.683,-730700,7,5,63.773,-338000
2026-06-25T08:18:55.814185+00:00,27,g027_0027_8428,19.968,-746700,5,5,63.773,-338000
2026-06-25T08:27:39.751330+00:00,28,g028_0028_4443,19.721,-749000,4,5,63.773,-338000
2026-06-25T08:33:01.848742+00:00,29,g029_0029_1194,21.586,-731600,7,5,63.773,-338000
2026-06-25T08:38:23.947662+00:00,30,g030_0030_2824,20.557,-741200,6,5,63.773,-338000
2026-06-25T08:40:15.169345+00:00,31,g031_0031_6295,20.032,-746100,4,5,63.773,-338000
2026-06-25T08:42:05.798999+00:00,32,g032_0032_1066,19.293,-753000,4,5,63.773,-338000
2026-06-25T08:45:19.623892+00:00,33,g033_0033_7615,21.361,-733700,5,5,63.773,-338000
2026-06-25T08:48:32.632591+00:00,34,g034_0034_8194,22.176,-726100,7,5,63.773,-338000
2026-06-25T08:51:45.486051+00:00,35,g035_0035_4408,21.94,-728300,7,5,63.773,-338000
2026-06-25T08:54:58.326950+00:00,36,g036_0036_3848,18.51,-760300,3,5,63.773,-338000
2026-06-25T09:00:20.896603+00:00,37,g037_0037_9604,21.19,-735300,6,5,63.773,-338000
2026-06-25T09:09:04.495295+00:00,38,g038_0038_6324,19.518,-750900,5,5,63.773,-338000
2026-06-25T09:17:49.311842+00:00,39,g039_0039_8690,21.158,-735600,5,5,63.773,-338000
2026-06-25T09:19:41.048689+00:00,40,g040_0040_3956,20.6,-740800,5,5,63.773,-338000
2026-06-25T09:22:54.496425+00:00,41,g041_0041_4010,21.726,-730300,6,5,63.773,-338000
2026-06-25T09:31:37.781137+00:00,42,g042_0042_4449,21.533,-732100,7,5,63.773,-338000
2026-06-25T09:34:51.723869+00:00,43,g043_0043_3892,20.943,-737600,5,5,63.773,-338000
2026-06-25T09:35:53.962987+00:00,44,g044_0044_9652,58.521,-387000,4,6,63.773,-338000
2026-06-25T09:36:55.726585+00:00,45,g045_0045_4063,23.676,-712100,8,5,63.773,-338000
2026-06-25T09:37:56.980230+00:00,46,g046_0046_1735,19.732,-748900,5,5,63.773,-338000
2026-06-25T09:46:41.346352+00:00,47,g047_0047_4151,20.997,-737100,6,5,63.773,-338000
2026-06-25T09:48:33.185501+00:00,48,g048_0048_5416,19.228,-753600,3,5,63.773,-338000
