created_at,iteration,genome_id,roi_percent,profit,high_grade_hit_count,max_main_match,best_roi_percent,best_profit
2026-06-23T07:31:53.458166+00:00,16,g016_0016_1842,19.218,-753700,3,5,61.522,-359000
2026-06-23T07:35:01.405615+00:00,17,g017_0017_6483,21.876,-728900,5,5,61.522,-359000
2026-06-23T07:36:02.132283+00:00,18,g018_0018_8941,19.753,-748700,4,5,61.522,-359000
2026-06-23T07:41:16.558173+00:00,19,g019_0019_3567,20.054,-745900,6,5,61.522,-359000
2026-06-23T07:43:04.532786+00:00,20,g020_0020_1035,21.468,-732700,6,5,61.522,-359000
2026-06-23T07:48:19.641439+00:00,21,g021_0021_2331,21.468,-732700,5,5,61.522,-359000
2026-06-23T07:53:33.788488+00:00,22,g022_0022_6892,19.925,-747100,4,5,61.522,-359000
2026-06-23T07:58:48.328495+00:00,23,g023_0023_3300,17.878,-766200,2,5,61.522,-359000
2026-06-23T08:01:55.886544+00:00,24,g024_0024_2108,21.018,-736900,5,5,61.522,-359000
2026-06-23T08:05:03.144849+00:00,25,g025_0025_1983,23.323,-715400,10,5,61.522,-359000
2026-06-23T08:13:33.333762+00:00,26,g026_0026_4228,20.343,-743200,5,5,61.522,-359000
2026-06-23T08:22:09.269383+00:00,27,g027_0027_9007,23.462,-714100,6,5,61.522,-359000
2026-06-23T08:27:27.740204+00:00,28,g028_0028_4626,21.458,-732800,7,5,61.522,-359000
2026-06-23T08:32:46.677952+00:00,29,g029_0029_2291,20.579,-741000,4,5,61.522,-359000
2026-06-23T08:34:36.016505+00:00,30,g030_0030_1608,21.576,-731700,6,5,61.522,-359000
2026-06-23T08:37:45.382124+00:00,31,g031_0031_6527,21.618,-731300,6,5,61.522,-359000
2026-06-23T08:46:20.848079+00:00,32,g032_0032_8221,23.483,-713900,9,5,61.522,-359000
2026-06-23T08:47:22.057483+00:00,33,g033_0033_7567,20.257,-744000,5,5,61.522,-359000
2026-06-23T08:50:31.074319+00:00,34,g034_0034_6912,19.571,-750400,3,5,61.522,-359000
2026-06-23T08:53:40.118039+00:00,35,g035_0035_8258,22.99,-718500,7,5,61.522,-359000
2026-06-23T08:56:49.951321+00:00,36,g036_0036_1491,22.594,-722200,7,5,61.522,-359000
2026-06-23T08:59:59.121208+00:00,37,g037_0037_6983,21.865,-729000,5,5,61.522,-359000
2026-06-23T09:03:08.601073+00:00,38,g038_0038_8772,21.415,-733200,6,5,61.522,-359000
2026-06-23T09:04:58.104159+00:00,39,g039_0039_1880,59.989,-373300,5,6,61.522,-359000
2026-06-23T09:13:28.052957+00:00,40,g040_0040_2951,19.314,-752800,4,5,61.522,-359000
2026-06-23T09:22:03.965748+00:00,41,g041_0041_3618,22.444,-723600,6,5,61.522,-359000
2026-06-23T09:23:05.084115+00:00,42,g042_0042_9552,19.689,-749300,4,5,61.522,-359000
2026-06-23T09:31:34.976771+00:00,43,g043_0043_5679,21.168,-735500,6,5,61.522,-359000
2026-06-23T09:34:44.581936+00:00,44,g044_0044_3879,20.064,-745800,4,5,61.522,-359000
2026-06-23T09:36:33.712967+00:00,45,g045_0045_3609,22.508,-723000,6,5,61.522,-359000
2026-06-23T09:38:23.373731+00:00,46,g046_0046_6367,20.707,-739800,3,5,61.522,-359000
2026-06-23T09:43:37.938265+00:00,47,g047_0047_4717,20.6,-740800,4,5,61.522,-359000
2026-06-23T09:46:46.040939+00:00,48,g048_0048_9232,19.153,-754300,2,5,61.522,-359000
2026-06-23T09:52:00.737266+00:00,49,g049_0049_4098,59.571,-377200,5,6,61.522,-359000
2026-06-23T10:00:37.352747+00:00,50,g050_0050_5973,20.118,-745300,5,5,61.522,-359000
2026-06-23T10:01:38.601524+00:00,51,g051_0051_9373,19.925,-747100,4,5,61.522,-359000
2026-06-23T10:15:00.238992+00:00,52,g052_0052_8953,21.651,-731000,8,5,61.522,-359000
2026-06-23T10:23:39.869376+00:00,53,g053_0053_5227,20.943,-737600,6,5,61.522,-359000
2026-06-23T10:28:57.812092+00:00,54,g054_0054_8236,20.525,-741500,6,5,61.522,-359000
2026-06-23T10:34:12.463932+00:00,55,g055_0055_8057,22.369,-724300,8,5,61.522,-359000
