created_at,iteration,genome_id,objective_score,roi_percent,profit,grade_hit_count,high_grade_hit_count,max_main_match,rank_3,rank_4,rank_5,rank_6,best_objective_score,best_roi_percent,best_profit
2026-07-05T02:45:32.469266+00:00,39,g039_0039_8181,7824.08,11.841,-443000,56,0,4,0,0,23,33,16596.85,17.095,-416600
2026-07-05T02:50:11.511292+00:00,40,g040_0040_1198,14440.02,15.363,-425300,53,3,5,0,3,17,33,16596.85,17.095,-416600
2026-07-05T02:57:28.441039+00:00,41,g041_0041_2441,11838.19,13.413,-435100,49,2,5,0,2,17,30,16596.85,17.095,-416600
2026-07-05T02:57:38.666671+00:00,42,g042_0042_5556,10427.26,14.09,-431700,64,1,5,0,1,18,45,16596.85,17.095,-416600
2026-07-05T02:57:48.949134+00:00,43,g043_0043_2414,6748.98,10.05,-452000,47,0,4,0,0,19,28,16596.85,17.095,-416600
2026-07-05T03:02:25.291799+00:00,44,g044_0044_7056,7225.06,12.279,-440800,59,0,4,0,0,17,42,16596.85,17.095,-416600
2026-07-05T03:52:42.537064+00:00,45,g045_0045_2011,7121.22,10.766,-448400,51,0,4,0,0,20,31,16596.85,17.095,-416600
2026-07-05T03:57:18.184967+00:00,46,g046_0046_9599,11030.88,14.448,-429900,62,1,5,0,1,23,38,16596.85,17.095,-416600
2026-07-05T03:57:36.206356+00:00,47,g047_0047_5027,11173.13,14.945,-427400,67,1,5,0,1,22,44,16596.85,17.095,-416600
2026-07-05T03:57:54.237141+00:00,48,g048_0048_2888,10252.95,12.697,-438700,54,1,5,0,1,21,32,16596.85,17.095,-416600
2026-07-05T04:02:33.506778+00:00,49,g049_0049_9627,12844.33,14.547,-429400,58,2,5,0,2,21,35,16596.85,17.095,-416600
2026-07-05T04:04:16.182921+00:00,50,g050_0050_8609,10688.38,13.234,-436000,57,1,5,0,1,23,33,16596.85,17.095,-416600
2026-07-05T04:04:26.403473+00:00,51,g051_0051_2403,9858.43,12.139,-441500,52,1,5,0,1,19,32,16596.85,17.095,-416600
2026-07-05T04:04:36.719253+00:00,52,g052_0052_1803,12058.9,14.01,-432100,56,2,5,0,2,16,38,16596.85,17.095,-416600
2026-07-05T04:05:09.977726+00:00,53,g053_0053_9131,12404.23,14.746,-428400,56,2,5,0,2,18,36,16596.85,17.095,-416600
2026-07-05T04:08:01.295667+00:00,54,g054_0054_7054,10298.04,12.716,-438600,55,1,5,0,1,21,33,16596.85,17.095,-416600
2026-07-05T04:10:51.430711+00:00,55,g055_0055_6428,12357.0,13.592,-434200,49,2,5,0,2,21,26,16596.85,17.095,-416600
2026-07-05T04:13:42.956560+00:00,56,g056_0056_4115,10151.43,12.139,-441500,53,1,5,0,1,21,31,16596.85,17.095,-416600
2026-07-05T04:38:21.470355+00:00,57,g057_0057_6832,10255.93,13.134,-436500,53,1,5,0,1,21,31,16596.85,17.095,-416600
2026-07-05T04:38:31.785119+00:00,58,g058_0058_7329,12431.89,14.229,-431000,55,2,5,0,2,19,34,16596.85,17.095,-416600
2026-07-05T04:38:41.974986+00:00,59,g059_0059_9333,9115.93,11.144,-446500,49,1,5,0,1,15,33,16596.85,17.095,-416600
2026-07-05T04:38:52.231449+00:00,60,g060_0060_8376,13661.07,16.259,-420800,67,2,5,0,2,23,42,16596.85,17.095,-416600
2026-07-05T04:40:34.327334+00:00,61,g061_0061_3763,13527.89,16.219,-421000,64,2,5,0,2,23,39,16596.85,17.095,-416600
2026-07-05T04:41:07.321497+00:00,62,g062_0062_2612,10407.81,13.771,-433300,61,1,5,0,1,19,41,16596.85,17.095,-416600
2026-07-05T04:41:25.315318+00:00,63,g063_0063_6227,11956.19,13.413,-435100,55,2,5,0,2,16,37,16596.85,17.095,-416600
2026-07-05T04:58:07.394713+00:00,64,g064_0064_2743,9626.04,12.716,-438600,51,1,5,0,1,17,33,16596.85,17.095,-416600
2026-07-05T23:15:14.493371+00:00,65,g065_0065_6738,15402.45,18.109,-411500,71,2,5,0,2,34,35,16596.85,17.095,-416600
2026-07-05T23:16:13.938280+00:00,66,g066_0066_8343,10369.59,12.617,-439100,54,1,5,0,1,22,31,16596.85,17.095,-416600
2026-07-05T23:17:57.426550+00:00,67,g067_0067_6576,13003.66,15.284,-425700,57,2,5,0,2,22,33,16596.85,17.095,-416600
2026-07-05T23:18:30.808637+00:00,68,g068_0068_6875,13422.9,16.0,-422100,65,2,5,0,2,22,41,16596.85,17.095,-416600
2026-07-05T23:21:24.528445+00:00,69,g069_0069_6991,10150.05,12.498,-439700,55,1,5,0,1,20,34,16596.85,17.095,-416600
2026-07-05T23:21:34.924463+00:00,70,g070_0070_1198,10533.41,12.577,-439300,55,1,5,0,1,23,31,16596.85,17.095,-416600
2026-07-05T23:21:45.237280+00:00,71,g071_0071_7744,12511.98,14.249,-430900,60,2,5,0,2,18,40,16596.85,17.095,-416600
2026-07-05T23:29:05.516859+00:00,72,g072_0072_2552,8009.51,12.378,-440300,59,0,4,0,0,23,36,16596.85,17.095,-416600
2026-07-05T23:30:49.582249+00:00,73,g073_0073_9315,14671.92,15.562,-424300,55,3,5,0,3,18,34,16596.85,17.095,-416600
2026-07-05T23:38:09.614518+00:00,74,g074_0074_7227,7117.04,10.726,-448600,51,0,4,0,0,20,31,16596.85,17.095,-416600
2026-07-06T00:02:54.534844+00:00,75,g075_0075_7257,10114.03,12.935,-437500,56,1,5,0,1,19,36,16596.85,17.095,-416600
2026-07-06T00:52:52.722735+00:00,76,g076_0076_8709,12561.85,15.104,-426600,59,2,5,0,2,18,39,16596.85,17.095,-416600
2026-07-06T00:53:03.124139+00:00,77,g077_0077_5419,11610.12,15.164,-426300,65,1,5,0,1,26,38,16596.85,17.095,-416600
2026-07-06T00:53:36.443458+00:00,78,g078_0078_7865,7626.82,11.562,-444400,55,0,4,0,0,22,33,16596.85,17.095,-416600
2026-07-06T00:54:09.990308+00:00,79,g079_0079_8956,7911.64,11.522,-444600,53,0,4,0,0,25,28,16596.85,17.095,-416600
2026-07-06T00:54:28.230463+00:00,80,g080_0080_4025,12376.83,13.333,-435500,53,2,5,0,2,20,31,16596.85,17.095,-416600
2026-07-06T00:54:38.640577+00:00,81,g081_0081_7041,7272.68,10.647,-449000,49,0,4,0,0,22,27,16596.85,17.095,-416600
2026-07-06T00:55:11.795222+00:00,82,g082_0082_7380,7816.43,12.139,-441500,58,0,4,0,0,22,36,16596.85,17.095,-416600
2026-07-06T00:56:11.084813+00:00,83,g083_0083_1415,12936.11,15.383,-425200,61,2,5,0,2,20,39,16596.85,17.095,-416600
2026-07-06T00:57:10.498983+00:00,84,g084_0084_4584,10606.9,14.01,-432100,62,1,5,0,1,20,41,16596.85,17.095,-416600
2026-07-06T00:58:09.748073+00:00,85,g085_0085_6630,10359.85,12.896,-437700,56,1,5,0,1,21,34,16596.85,17.095,-416600
2026-07-06T01:09:24.955999+00:00,86,g086_0086_7523,10650.27,13.652,-433900,58,1,5,0,1,22,35,16596.85,17.095,-416600
2026-07-06T01:11:08.029061+00:00,87,g087_0087_7931,10255.53,11.94,-442500,53,1,5,0,1,22,30,16596.85,17.095,-416600
2026-07-06T01:35:46.356954+00:00,88,g088_0088_4055,7577.55,11.502,-444700,54,0,4,0,0,22,32,16596.85,17.095,-416600
2026-07-06T01:37:29.078605+00:00,89,g089_0089_6796,12005.3,12.995,-437200,51,2,5,0,2,18,31,16596.85,17.095,-416600
2026-07-06T01:39:11.616920+00:00,90,g090_0090_3832,12324.8,13.99,-432200,56,2,5,0,2,18,36,16596.85,17.095,-416600
2026-07-06T01:50:29.367738+00:00,91,g091_0091_4970,9352.83,11.343,-445500,48,1,5,0,1,17,30,16596.85,17.095,-416600
2026-07-06T01:50:39.646600+00:00,92,g092_0092_6531,9725.07,12.06,-441900,52,1,5,0,1,18,33,16596.85,17.095,-416600
